	character	line_rank	word_rank	WD_rank	BC_rank
0	1_watchman	18	18	18	9
1	2_watchman	19	19	19	9
2	Ancient	14	14	14	9
3	Bounteous	1	2	1	3
4	Folly-wit	2	1	2	4
5	Footman	10	11	10	9
6	Gunwater	9	9	9	9
7	Harebrain	4	3	4	1
8	Inesse	13	12	13	9
9	Jesper	16	17	16	9
10	Lieutenant	6	7	6	6
11	Penitent	3	4	3	2
12	Possibility	11	15	11	7
13	Rafe	17	16	17	9
14	constable	12	13	12	9
15	courtesan	5	5	5	5
16	mother	7	6	7	8
17	servant	14	15	14	9
18	succubus	15	10	15	9
19	wife	8	8	8	9
