	character	line_rank	word_rank	WD_rank	BC_rank
0	1_creditor	18	17	18	15
1	2_creditor	18	19	18	15
2	3_creditor	19	20	19	15
3	Alworth	6	6	6	5
4	Amble	12	12	12	13
5	Froth	14	13	14	15
6	Furnace	8	8	8	7
7	Greedy	7	7	7	4
8	Lady	5	4	5	3
9	Lovell	4	5	4	8
10	Marall	3	3	3	2
11	Margaret	9	9	9	9
12	Order	10	11	10	7
13	Overreach	1	1	1	6
14	Tapwell	11	10	11	12
15	Watchall	16	18	16	14
16	Wellborn	2	2	2	1
17	Willdo	17	15	17	11
18	chambermaid	15	16	15	15
19	woman	13	14	13	10
