	character	line_rank	word_rank	WD_rank	BC_rank
0	Alicia	3	4	3	4
1	Bellamy	6	7	6	11
2	Bellamy_sr	13	12	12	10
3	Careless	1	1	1	5
4	Closet	11	11	11	12
5	Crostill	9	10	9	8
6	Fitzgerrard	14	14	13	14
7	Lady	2	2	2	1
8	Lovely	5	8	5	2
9	Phebe	12	13	12	12
10	Saleware	4	3	4	7
11	Saveall	10	6	10	9
12	Thrivewell	8	9	8	3
13	Wat	7	5	7	6
14	page	17	17	16	14
15	prentice	15	15	14	13
16	servant	16	16	15	14
