	character	line_rank	word_rank	WD_rank	BC_rank
0	1_servant	24	29	23	23
1	Andrew	6	6	6	13
2	Ateukin	1	1	1	4
3	Bartram	10	8	11	6
4	Bohan	8	5	8	17
5	Countess	12	18	11	10
6	Dorothea	2	3	2	2
7	Douglas	16	19	16	19
8	Eustace	11	15	10	11
9	Ida	7	9	7	15
10	Jaques	13	17	12	12
11	King_Eng	14	10	13	5
12	King_Scot	4	2	5	3
13	Lady_Anderson	11	16	10	18
14	Morton	22	26	21	23
15	Nano	5	7	4	8
16	Oberon	9	11	9	14
17	Ross	20	23	19	23
18	Sir_Cuthbert_Anderson	15	12	14	16
19	Slipper	3	4	3	1
20	bishop_Andrews	17	14	16	20
21	cutler	20	28	19	23
22	divine	23	20	22	9
23	huntsman	19	22	18	22
24	ladies	24	27	23	23
25	lawyer	21	13	20	7
26	merchant	23	24	22	23
27	purveyor	16	21	15	21
28	scout	24	27	23	23
29	shoemaker	21	25	20	23
30	tailor	18	28	17	23
