	character	line_rank	word_rank	WD_rank	BC_rank
0	Arthur	9	9	9	4
1	Artichoke	11	12	12	10
2	Civet	8	7	8	8
3	Daffidill	12	13	13	11
4	Delia	10	10	10	9
5	Flowerdale	2	1	2	1
6	Frances	10	11	11	10
7	Lancelot	1	2	1	3
8	Luce	6	5	6	5
9	Oliver	4	4	4	2
10	Rafe	14	15	15	12
11	Uncle	5	6	5	12
12	Weathercock	7	8	7	6
13	citizen	15	14	16	12
14	drawer	13	17	14	12
15	father	3	3	3	7
16	ruffian	15	16	16	12
17	soldier	14	18	15	12
