	line_rank	word_rank	WD_rank	BC_rank
line_rank	1.0	0.96	1.0	0.87
word_rank	0.96	1.0	0.96	0.82
WD_rank	1.0	0.96	1.0	0.87
BC_rank	0.87	0.82	0.87	1.0
