	line_rank	word_rank	WD_rank	BC_rank
line_rank	1.0	0.89	1.0	0.75
word_rank	0.89	1.0	0.88	0.86
WD_rank	1.0	0.88	1.0	0.74
BC_rank	0.75	0.86	0.74	1.0
