	line_rank	word_rank	WD_rank	BC_rank
line_rank	1.0	0.96	1.0	0.81
word_rank	0.96	1.0	0.96	0.84
WD_rank	1.0	0.96	1.0	0.81
BC_rank	0.81	0.84	0.81	1.0
