,character,lines,words,degree,weighted_degree,eigenvector,betweenness,line_rank,word_rank,degree_rank,WD_rank,BC_rank,EC_rank,count_rank,metrics_rank
0,Abigal,88,1889,9,176,0.3095986444959716,2.7393939393939393,5,5,4,5,5,5,5,4
1,Lady,191,3332,9,378,0.3062169397413315,2.581818181818182,2,2,4,2,6,6,2,4
2,Loveless_elder,266,6351,11,526,0.3501614534368985,6.239393939393939,1,1,2,1,2,2,1,1
3,Loveless_younger,145,3303,12,288,0.36306226651955187,11.12121212121212,3,3,1,3,1,1,3,1
4,Martha,30,502,5,60,0.17546007508590997,0.0,10,11,8,10,12,11,10,10
5,Moorecraft,57,994,10,114,0.32283317515180027,4.85,7,8,3,7,4,3,7,4
6,Roger,47,1006,7,94,0.24778123647870715,0.9318181818181818,8,7,6,8,9,9,7,8
7,Savil,80,1572,10,160,0.31861161154027584,5.463636363636364,6,6,3,6,3,4,6,4
8,Welford,140,2448,8,280,0.2646067211145584,2.1742424242424243,4,4,5,4,8,7,4,6
9,captain,33,908,8,66,0.2598360110614082,2.4818181818181815,9,9,5,9,7,8,9,7
10,poet,9,235,5,18,0.1656545543757818,0.25,13,13,8,13,10,12,13,10
11,servant,13,251,4,26,0.15436954777373932,0.0,12,12,9,12,12,13,12,11
12,traveler,5,52,4,10,0.1314040558389238,0.0,14,14,9,14,12,14,14,12
13,widow,24,564,6,48,0.22796124923300523,0.16666666666666666,11,10,7,11,11,10,10,9
