,character,lines,words,degree,weighted_degree,eigenvector,betweenness,line_rank,word_rank,degree_rank,WD_rank,BC_rank,EC_rank,count_rank,metrics_rank
0,Alicia,138,2998,8,274,0.21893912445518324,7.423809523809524,3,4,6,3,4,11,3,6
1,Bellamy,83,1438,7,166,0.22933064976472953,0.6944444444444444,6,7,7,6,11,10,6,8
2,Bellamy_sr,21,573,8,42,0.2622903076440515,0.9023809523809523,13,12,6,12,10,7,12,8
3,Careless,232,5955,11,462,0.32230770063028114,5.939682539682538,1,1,3,1,5,3,1,3
4,Closet,42,725,6,82,0.1945376820123679,0.47777777777777786,11,11,8,11,12,12,11,10
5,Crostill,61,1113,9,122,0.268182698147471,3.1380952380952385,9,10,5,9,8,6,9,7
6,Fitzgerrard,7,168,3,14,0.11051746309517138,0.0,14,14,9,13,14,14,14,12
7,Lady,156,3859,14,308,0.3537521419660653,23.64047619047619,2,2,1,2,1,1,2,1
8,Lovely,88,1352,11,176,0.3065530723351264,12.982539682539683,5,8,3,5,2,5,6,3
9,Phebe,22,362,6,42,0.19120845993282398,0.47777777777777786,12,13,8,12,12,13,12,11
10,Saleware,119,3398,10,234,0.30695822441059945,3.6063492063492064,4,3,4,4,7,4,3,4
11,Saveall,53,1547,8,104,0.25691440725382225,1.503968253968254,10,6,6,10,9,8,8,8
12,Thrivewell,67,1156,12,132,0.33727290833791446,11.075396825396824,8,9,2,8,3,2,8,3
13,Wat,68,1903,8,136,0.2393344831016112,3.787301587301587,7,5,6,7,6,9,6,7
14,page,1,12,2,2,0.059103705623107884,0.0,17,17,10,16,14,17,17,14
15,prentice,3,43,3,6,0.0913310057719729,0.35,15,15,9,14,13,15,15,12
16,servant,2,27,2,4,0.07772168911512349,0.0,16,16,10,15,14,16,16,13
