,character,lines,words,degree,weighted_degree,eigenvector,betweenness,line_rank,word_rank,degree_rank,WD_rank,BC_rank,EC_rank,count_rank,metrics_rank
0,1_gallant,2,20,3,4,0.07867290624260109,0.0,17,19,11,16,16,17,18,15
1,1_servant,1,3,1,2,0.03715978750223318,0.0,18,25,13,17,16,22,21,17
2,1_wench,2,11,2,4,0.04131942367952983,0.0,17,22,12,16,16,20,19,16
3,2_gallant,2,18,3,4,0.07867290624260105,0.0,17,20,11,16,16,18,18,15
4,Bess,10,208,2,20,0.03706757938888416,0.0,16,16,12,15,16,25,16,17
5,Blanda,19,216,4,38,0.08693030896444928,3.021428571428572,12,15,10,11,13,16,13,12
6,Dalavill,47,1483,10,93,0.290453861909739,10.17142857142857,7,6,5,7,6,5,6,5
7,Prudentilla,17,308,6,34,0.17152859363752976,2.0,13,13,8,12,14,12,13,11
8,Reignald,167,3886,16,330,0.3646719151834824,74.09523809523807,1,1,1,1,1,1,1,1
9,Ricott,24,408,6,48,0.17868787967131303,0.726190476190476,10,10,8,10,15,11,10,11
10,Robin,16,369,5,32,0.15401035403074667,0.0,14,12,9,13,16,14,13,13
11,Scapha,12,396,2,24,0.038335203265181264,0.0,15,11,12,14,16,21,13,15
12,Wincott,60,1613,10,119,0.30851507027850705,7.588095238095242,6,5,5,6,7,4,5,5
13,clown,62,2158,11,124,0.31765486588709513,12.271428571428572,5,3,4,5,5,3,4,4
14,drawer,1,5,2,2,0.03706757938888417,0.0,18,24,12,17,16,24,21,17
15,gentleman,2,16,2,4,0.07414476146529657,0.0,17,21,12,16,16,19,19,15
16,old_Geraldine,40,1169,8,80,0.24272237253889642,4.245238095238096,9,9,6,9,11,9,9,8
17,old_Lionel,131,1987,13,262,0.32833519432676184,55.98095238095238,2,4,2,2,2,2,3,2
18,owner,10,118,6,20,0.17144962517540432,3.0285714285714294,16,18,8,15,12,13,17,12
19,rioter,19,182,5,38,0.11329818282810362,4.283333333333333,12,17,9,11,10,15,14,11
20,servant,1,6,1,2,0.037159787502233164,0.0,18,23,13,17,16,23,20,17
21,usurer,21,307,8,38,0.2563640220395757,6.204761904761907,11,14,6,11,8,7,12,8
22,wife,46,1235,7,92,0.21199273409592223,4.759523809523811,8,8,7,8,9,10,8,8
23,young_Geraldine,102,3753,11,202,0.2904528856067916,47.17142857142857,3,2,4,3,4,6,2,4
24,young_Lionel,72,1464,12,144,0.2517905842288372,54.452380952380956,4,7,3,4,3,8,5,4
