,character,lines,words,degree,weighted_degree,eigenvector,betweenness,line_rank,word_rank,degree_rank,WD_rank,BC_rank,EC_rank,count_rank,metrics_rank
0,2_customer,2,28,3,4,0.05335179881645694,0.2,26,30,14,25,22,22,28,20
1,4_customer,1,32,2,2,0.045496314232349504,0.0,27,29,15,26,24,24,28,22
2,5_customer,1,5,2,2,0.03814061828587357,0.0,27,35,15,26,24,26,31,22
3,Almanach,72,712,12,144,0.24533744034245084,1.792063492063492,7,12,7,7,16,9,9,9
4,Band,15,160,10,30,0.1830328943300566,3.7790404040404035,21,23,9,20,14,13,22,14
5,Broker,34,686,11,68,0.2101923649722716,13.046874204227144,14,13,8,14,12,12,13,11
6,Censure,31,543,8,62,0.07905109109139308,48.379806468041764,15,16,10,15,4,19,15,12
7,Cymbal,86,1170,12,172,0.242940474351115,2.6999999999999993,5,9,7,5,15,10,7,9
8,Expectation,31,387,4,62,0.017710301746614584,0.0,15,17,13,15,24,32,16,21
9,Fitton,120,1223,15,240,0.26774274069150383,22.264731347084286,3,8,4,3,9,4,5,5
10,Leatherleg,2,7,1,4,0.025556274890249545,0.0,26,34,16,25,24,29,30,23
11,Lickfinger,62,1312,15,124,0.2615690515288726,41.92522493846023,9,5,4,9,5,6,7,6
12,Madrigal,49,554,12,98,0.2513503354398382,0.7706349206349207,11,15,7,11,19,8,13,11
13,Mirth,39,1293,6,78,0.06133254973200418,16.46940412528649,13,6,12,12,10,21,9,13
14,Mortgage,5,44,6,10,0.1017014355687289,0.5444444444444444,24,27,12,23,20,16,25,17
15,Pecunia,40,826,19,75,0.3028431895592923,54.84026822850353,12,10,2,13,3,2,11,5
16,Pennyboy_Canter,87,2469,14,174,0.26017977912224377,22.662566844919784,4,3,5,4,8,7,3,6
17,Pennyboy_junior,231,4636,24,450,0.31704270176714133,204.5809014514897,1,1,1,1,1,1,1,1
18,Pennyboy_senior,125,4010,18,242,0.2837404950277803,82.61047449282742,2,2,3,2,2,3,2,2
19,Picklock,80,1828,14,160,0.26363977917379255,8.531818181818181,6,4,5,6,13,5,5,7
20,Pyedmantle,19,262,4,38,0.08390986623856313,0.1,19,20,13,19,23,18,19,18
21,Shunfield,63,673,12,126,0.2513503354398382,0.7706349206349207,8,14,7,8,19,8,11,10
22,Statute,17,185,7,30,0.12535133235873347,1.6214646464646465,20,22,11,20,17,14,21,15
23,Tatle,29,798,7,58,0.061614208910247464,29.527412783295116,16,11,11,16,6,20,13,13
24,Thomas,50,1254,13,100,0.21159085617880988,26.03878066378066,10,7,6,10,7,11,8,8
25,Wax,9,61,6,18,0.10306671416432094,1.5270202020202017,23,26,12,22,18,15,24,16
26,bookholder,1,15,2,2,0.011338791444571986,0.0,27,33,15,26,24,33,30,24
27,clerk,5,68,2,10,0.03072732502707529,0.5,24,25,15,23,21,27,24,21
28,dopper,9,75,3,18,0.050467739803279794,0.0,23,24,14,22,24,23,23,20
29,fashioner,21,307,2,42,0.042612255219172335,0.0,18,19,15,17,24,25,18,20
30,haberdasher,1,16,1,2,0.02555627489024958,0.0,27,32,16,26,24,28,29,23
31,porter,4,37,1,8,0.02287184044296769,0.0,25,28,16,24,24,30,26,23
32,prologue,10,232,4,19,0.01771030174661464,0.0,22,21,13,21,24,31,21,22
33,register,22,314,7,40,0.09745254607453697,13.81643323996265,17,18,11,18,11,17,17,14
34,spurrier,2,19,1,4,0.02555627489024958,0.0,26,31,16,25,24,28,28,23
