,character,lines,words,degree,weighted_degree,eigenvector,betweenness,line_rank,word_rank,degree_rank,WD_rank,BC_rank,EC_rank,count_rank,metrics_rank
0,1_gentleman,3,34,2,6,0.04119866069879208,0.0,14,15,9,14,15,17,14,13
1,1_woman,2,41,4,4,0.1108694668548265,12.583333333333334,15,14,8,15,4,13,14,10
2,2_gentleman,3,22,2,6,0.04119866069879204,0.0,14,17,9,14,15,18,15,14
3,2_servant,23,567,5,46,0.17258607140185678,0.0,11,11,7,11,15,12,11,11
4,2_woman,1,22,2,2,0.016845023094020254,0.5,16,17,9,16,13,20,16,14
5,3_woman,1,12,2,2,0.0384513028551881,4.416666666666667,16,18,9,16,8,19,17,13
6,4_woman,1,26,2,2,0.07165891011621105,0.0,16,16,9,16,15,14,16,13
7,Belleur,130,2922,14,259,0.32400212841435005,66.31904761904761,2,2,1,2,1,3,2,1
8,Lillia_Bianca,114,2823,11,226,0.31121003813540493,15.420634920634921,3,3,3,3,3,4,3,3
9,Lugier,56,1298,9,112,0.28977787011636374,1.6523809523809523,8,8,4,8,10,6,8,7
10,Mariana,1,34,2,2,0.07030095370384623,0.0,16,15,9,16,15,16,15,14
11,Mirabel,226,5947,13,452,0.35445326450129855,25.013492063492063,1,1,2,1,2,1,1,1
12,Nantolet,22,556,8,40,0.26423546823362437,1.1706349206349207,12,12,5,12,12,10,12,9
13,Oriana,67,1305,9,134,0.29538193716173106,1.5373015873015872,7,7,4,7,11,5,7,6
14,Pinac,92,1672,9,184,0.26872145362258,8.587301587301587,5,5,4,5,6,8,5,5
15,Rosalura,108,1885,11,216,0.3307324471349549,10.063492063492065,4,4,3,4,5,2,4,3
16,boy,8,118,2,16,0.07109383545555625,0.0,13,13,9,13,15,15,13,13
17,de_Gard,70,1549,9,139,0.275749862713712,7.453968253968253,6,6,4,6,7,7,6,6
18,factor,36,609,8,72,0.26475217577572707,1.837301587301587,10,10,5,10,9,9,10,8
19,la_Castre,40,630,6,80,0.20346595224804473,0.44444444444444453,9,9,6,9,14,11,9,10
