,character,lines,words,degree,weighted_degree,eigenvector,betweenness,line_rank,word_rank,degree_rank,WD_rank,BC_rank,EC_rank,count_rank,metrics_rank
0,1_gentleman,2,81,2,4,0.04287170995977599,0.0,20,22,13,20,27,28,21,22
1,1_prisoner,12,283,4,20,0.0870661235539604,1.6690476190476191,13,15,11,14,23,21,14,17
2,2_gentleman,2,63,3,4,0.06197114180198458,0.5,20,24,12,20,26,24,22,20
3,2_prisoner,6,135,4,10,0.07908964630029473,4.443589743589744,16,16,11,17,19,22,16,17
4,Bettrice,1,4,1,2,0.031617764993358874,0.0,21,34,14,21,27,32,27,23
5,Billingsgate,1,31,2,2,0.047833764433701895,0.0,21,28,13,21,27,27,24,22
6,Bramble,11,302,7,22,0.1583896048444264,11.432142857142857,14,14,8,13,13,13,14,11
7,Fond,5,59,2,10,0.006620519590811132,1.0,17,26,13,17,25,34,21,22
8,Gazer,5,69,2,10,0.03234993652244853,21.01212121212121,17,23,13,17,7,31,20,17
9,Gertrude,77,2867,14,154,0.2858975311652162,144.99451545186838,4,3,3,4,1,5,3,3
10,Golding,61,1702,10,121,0.2592687381631157,14.74855683532154,6,6,5,6,11,6,6,7
11,Hamlet,3,25,4,6,0.06129175406193338,11.110948773448774,19,29,11,19,14,25,24,17
12,Holdfast,6,62,4,12,0.11262906965307094,1.1622405372405373,16,25,11,16,24,18,20,17
13,Mildred,16,364,6,30,0.1562038587393631,3.912337662337662,12,12,9,12,20,14,12,13
14,Petronel,89,2271,16,176,0.32568801237623257,130.31762151247446,3,5,1,3,2,2,4,2
15,Poldavy,3,92,1,6,0.031617764993358874,0.0,19,20,14,19,27,32,19,23
16,Potkin,2,21,3,4,0.027514832743861756,11.446212121212119,20,30,12,20,12,33,25,19
17,Quicksilver,132,4402,16,258,0.34964721684670536,91.00141174185292,1,2,1,1,4,1,1,1
18,Scapethrift,4,85,4,8,0.10319479271941553,0.0,18,21,11,18,27,19,19,18
19,Seagull,20,530,8,40,0.1918023541231695,10.712429237429236,10,10,7,10,15,10,10,10
20,Security,72,2706,15,142,0.31981635226454386,97.5347668671198,5,4,2,5,3,3,4,3
21,Sindefy,22,447,7,44,0.18088528536340528,34.94954906204906,9,11,8,9,6,11,10,8
22,Slitgut,6,712,5,12,0.11271122078833873,3.863467088467088,16,7,10,16,21,17,11,16
23,Spendall,9,126,9,18,0.2552714045056153,14.81816916743387,15,17,6,15,10,7,16,9
24,Touchstone,105,4765,13,205,0.3125701530914531,57.993777301130244,2,1,4,2,5,4,1,3
25,Winifrid,11,364,6,22,0.1415148996286608,6.7972178964826035,14,12,9,13,17,16,13,13
26,Wolf,25,590,9,50,0.21453263207919035,14.944570135746604,8,9,6,8,9,8,8,7
27,coachman,1,34,2,2,0.042147221397064685,2.225,21,27,13,21,22,29,24,21
28,constable,9,125,3,18,0.10190829942408308,0.0,15,18,12,15,27,20,16,18
29,drawer,9,362,7,18,0.16035720415923202,7.530068950657186,15,13,8,15,16,12,14,12
30,friend,17,108,6,34,0.14400910518820614,4.852380952380953,11,19,9,11,18,15,15,13
31,messenger,1,13,2,2,0.053534748192642374,0.0,21,32,13,21,27,26,26,21
32,mrs_Touchstone,27,593,8,54,0.19865925877638535,16.02785727344551,7,8,7,7,8,9,7,7
33,page,1,15,1,2,0.03456752356029495,0.0,21,31,14,21,27,30,26,23
34,scrivener,1,7,2,2,0.07028568733527152,0.0,21,33,13,21,27,23,27,21
