,character,lines,words,degree,weighted_degree,eigenvector,betweenness,line_rank,word_rank,degree_rank,WD_rank,BC_rank,EC_rank,count_rank,metrics_rank
0,1_gentleman,17,263,9,34,0.26421780764897496,0.9440476190476191,15,16,5,15,13,6,15,9
1,2_gentleman,18,227,9,36,0.26421780764897485,0.9440476190476191,14,17,5,14,13,7,15,9
2,Anne,84,1800,9,166,0.2402732250999421,3.381959706959707,5,3,5,5,7,10,4,6
3,Bernard,35,681,6,70,0.15314379977892342,1.4391025641025643,12,10,6,12,12,13,11,10
4,Changeable,159,3051,14,318,0.3486099317692551,11.901739926739927,1,2,1,1,1,1,1,1
5,Gefrey,46,566,11,92,0.2999737338934023,3.896703296703297,9,12,3,9,6,4,10,5
6,John,79,1652,10,158,0.24241258936476806,9.798626373626373,6,4,4,6,2,9,5,5
7,Roger,59,1360,9,118,0.2544558116252805,1.7,7,6,5,7,10,8,6,7
8,Skales,92,1304,11,184,0.30874619368572703,2.344047619047619,3,7,3,3,8,3,5,4
9,Slightall,154,5281,13,304,0.32684276762551084,9.123626373626372,2,1,2,2,4,2,1,2
10,Treatwell,33,489,10,66,0.2861026596510327,1.5845238095238094,13,13,4,13,11,5,13,8
11,constable,17,336,3,34,0.05879352327340985,0.0,15,15,8,15,16,17,15,14
12,husband,49,604,5,98,0.09518323089890532,2.3166666666666664,8,11,7,8,9,16,9,10
13,scrivener,39,488,5,74,0.13911609049323326,0.44999999999999996,11,14,7,11,15,14,12,11
14,usurer,42,743,5,84,0.13450529381000292,0.5269230769230769,10,9,7,10,14,15,9,11
15,wife,91,1390,9,180,0.23642980821915946,6.084615384615384,4,5,5,4,5,11,4,6
16,woman,59,871,10,118,0.23303052496699742,9.563369963369963,7,8,4,7,3,12,7,6
