,character,direction,word_count,word_rank,BC_rank,difference,ratio
0,1_clown,Betweeness,116,16,11,5,0.185
1,2_clown,Betweeness,114,17,13,4,0.148
2,3_clown,Betweeness,67,21,18,3,0.111
3,Aeolous,Betweeness,10,27,18,9,0.333
5,Bounty,Betweeness,70,20,18,2,0.074
7,Cupid,Betweeness,50,25,16,9,0.333
9,Detraction,Words,126,15,18,3,0.111
11,Fortune,Betweeness,53,24,10,14,0.519
14,Plenty,Words,144,14,17,3,0.111
20,Time,Equal,110,18,18,0,0.0
22,dancer,Betweeness,23,26,18,8,0.296
23,forester,Betweeness,50,25,9,16,0.593
25,soldier,Betweeness,57,22,18,4,0.148
26,spaniard,Betweeness,97,19,18,1,0.037
27,tailor,Betweeness,54,23,18,5,0.185
