Source,Type,Target,Weight
 Ballance,undirected, Spendall,2
 Geraldine,undirected, Spendall,6
 Geraldine,undirected, Longfield,20
 Geraldine,undirected, wench,1
 Gartred,undirected, wench,2
 Spendall,undirected, wench,8
 Longfield,undirected, wench,1
 Gartred,undirected, Geraldine,33
 Gartred,undirected, Longfield,5
 Longfield,undirected, Spendall,25
 Spendall,undirected, boy,11
 Lionel,undirected, Spendall,15
 Lionel,undirected, Staines,7
 Bubble,undirected, Staines,85
 1_messenger,undirected, Bubble,12
 2_sergeant,undirected, Bubble,4
 Blanke,undirected, Staines,4
 Blanke,undirected, Bubble,14
 Bubble,undirected, Geraldine,6
 Geraldine,undirected, Rash,26
 Longfield,undirected, Rash,25
 Rash,undirected, Spendall,31
 Spendall,undirected, Sweatman,13
 Spendall,undirected, drawer,7
 Spendall,undirected, Tickleman,15
 Sweatman,undirected, drawer,1
 Pursenet,undirected, Spendall,16
 Pursenet,undirected, Sweatman,6
 Pursenet,undirected, Tickleman,7
 Sweatman,undirected, Tickleman,5
 Pursenet,undirected, Rash,1
 Rash,undirected, Sweatman,2
 Rash,undirected, swaggerer,1
 drawer,undirected, swaggerer,4
 Spendall,undirected, swaggerer,3
 Gartred,undirected, Spendall,1
 Gartred,undirected, Joyce,69
 Joyce,undirected, Lionel,8
 Gartred,undirected, Lionel,1
 Lionel,undirected, servant(s),11
 Geraldine,undirected, Joyce,11
 Gartred,undirected, Staines,8
 Staines,undirected, drawer,2
 Bubble,undirected, Lionel,25
 Bubble,undirected, Longfield,6
 Bubble,undirected, Sprinkle,8
 Spendall,undirected, Staines,51
 Blanke,undirected, Pursenet,3
 Blanke,undirected, Spendall,14
 Blanke,undirected, servant(s),1
 Spendall,undirected, servant(s),7
 Staines,undirected, boy,1
 Staines,undirected, servant(s),6
 Longfield,undirected, Staines,16
 Scattergood,undirected, Staines,23
 Longfield,undirected, Scattergood,14
 Ninnihammer,undirected, Scattergood,5
 Rash,undirected, Staines,27
 Rash,undirected, Scattergood,11
 Scattergood,undirected, Spendall,8
 Longfield,undirected, Ninnihammer,1
 Bubble,undirected, Rash,12
 Bubble,undirected, Spendall,8
 Bubble,undirected, Scattergood,54
 Bubble,undirected, Ninnihammer,1
 Ninnihammer,undirected, Spendall,1
 Bubble,undirected, drawer,1
 Rash,undirected, drawer,1
 Scattergood,undirected, drawer,2
 Joyce,undirected, Rash,28
 Gartred,undirected, Rash,30
 Joyce,undirected, Longfield,2
 Joyce,undirected, Spendall,2
 Lionel,undirected, Scattergood,29
 Bubble,undirected, Joyce,39
 Gartred,undirected, Scattergood,1
 Bubble,undirected, Gartred,2
 Joyce,undirected, Scattergood,2
 Scattergood,undirected, servant(s),1
 Ballance,undirected, Lionel,4
 Lionel,undirected, Rash,13
 Geraldine,undirected, Lionel,12
 Joyce,undirected, Staines,21
 Staines,undirected, Tickleman,1
 1_sergeant,undirected, Spendall,5
 2_sergeant,undirected, Spendall,2
 1_sergeant,undirected, 2_sergeant,3
 2_sergeant,undirected, Tickleman,1
 3_sergeant,undirected, Spendall,3
 3_sergeant,undirected, Pursenet,1
 3_sergeant,undirected, Tickleman,1
 3_sergeant,undirected, Sweatman,3
 Lodge,undirected, Rash,1
 Hold,undirected, Lodge,9
 Hold,undirected, Spendall,13
 Hold,undirected, fox,2
 Spendall,undirected, fox,6
 Spendall,undirected, prisoner,2
 fox,undirected, prisoner,12
 Longfield,undirected, fox,1
 Bubble,undirected, fox,1
 Lionel,undirected, widow,11
 Bubble,undirected, widow,3
 Spendall,undirected, widow,46
 Scattergood,undirected, widow,1
 Phillis,undirected, widow,4
 Phillis,undirected, Spendall,2
 Rash,undirected, widow,1
 Geraldine,undirected, Staines,1
 Baskethilt,undirected, Lionel,9
 Baskethilt,undirected, Scattergood,1
 Lionel,undirected, old_Geraldine,6
 Lionel,undirected, Phillis,4
 3_sergeant,undirected, Staines,1
 3_sergeant,undirected, Lionel,1
 3_sergeant,undirected, Bubble,2
 Geraldine,undirected, Scattergood,4
