Source,Type,Target,Weight
 Careless,undirected, Wat,79
 Careless,undirected, Saveall,69
 Saveall,undirected, Wat,3
 Phebe,undirected, Wat,32
 Saleware,undirected, Wat,16
 Wat,undirected, prentice,2
 Phebe,undirected, Thrivewell,1
 Lady,undirected, Thrivewell,64
 Lady,undirected, Saveall,2
 Saveall,undirected, Thrivewell,7
 Careless,undirected, Thrivewell,41
 Careless,undirected, Lady,130
 Alicia,undirected, Thrivewell,1
 Alicia,undirected, Lady,38
 Lady,undirected, prentice,1
 Alicia,undirected, prentice,3
 Alicia,undirected, Bellamy,107
 Alicia,undirected, Saleware,99
 Bellamy,undirected, Saleware,32
 Careless,undirected, Saleware,24
 Careless,undirected, Closet,53
 Closet,undirected, Lady,25
 Closet,undirected, Crostill,1
 Crostill,undirected, Saveall,17
 Lady,undirected, Saleware,27
 Bellamy,undirected, Lady,1
 Lady,undirected, Phebe,5
 Phebe,undirected, Saleware,2
 Lovely,undirected, Saleware,29
 Crostill,undirected, Lovely,43
 Bellamy,undirected, Lovely,8
 Bellamy,undirected, Crostill,10
 Crostill,undirected, Saleware,1
 Careless,undirected, Lovely,17
 Careless,undirected, Crostill,40
 Bellamy,undirected, Careless,7
 Closet,undirected, Phebe,1
 Saleware,undirected, Thrivewell,2
 Bellamy_sr,undirected, Lovely,33
 Alicia,undirected, Bellamy_sr,1
 Alicia,undirected, Lovely,24
 Lovely,undirected, page,1
 Alicia,undirected, page,1
 Lovely,undirected, Saveall,4
 Bellamy_sr,undirected, Thrivewell,1
 Lady,undirected, Wat,2
 Closet,undirected, Thrivewell,1
 Thrivewell,undirected, Wat,1
 Thrivewell,undirected, servant,3
 Lady,undirected, servant,1
 Fitzgerrard,undirected, Lady,4
 Crostill,undirected, Thrivewell,8
 Careless,undirected, Fitzgerrard,1
 Crostill,undirected, Phebe,1
 Lady,undirected, Lovely,6
 Lovely,undirected, Thrivewell,2
 Bellamy_sr,undirected, Lady,2
 Fitzgerrard,undirected, Lovely,9
 Bellamy_sr,undirected, Saleware,2
 Bellamy,undirected, Bellamy_sr,1
 Crostill,undirected, Wat,1
 Bellamy_sr,undirected, Careless,1
 Bellamy_sr,undirected, Saveall,1
 Closet,undirected, Saveall,1
