Source,Type,Target,Weight
 Anne,undirected, Slightall,30
 Anne,undirected, Changeable,26
 Changeable,undirected, wife,65
 Changeable,undirected, Treatwell,17
 Treatwell,undirected, wife,7
 Slightall,undirected, wife,4
 Slightall,undirected, Treatwell,2
 Anne,undirected, wife,57
 Anne,undirected, Treatwell,8
 Changeable,undirected, Slightall,125
 Slightall,undirected, usurer,10
 scrivener,undirected, usurer,66
 Roger,undirected, usurer,3
 Gefrey,undirected, Roger,19
 Gefrey,undirected, scrivener,2
 1_gentleman,undirected, Roger,5
 1_gentleman,undirected, Slightall,9
 2_gentleman,undirected, Slightall,9
 Roger,undirected, Slightall,59
 2_gentleman,undirected, Roger,5
 Gefrey,undirected, Slightall,26
 Changeable,undirected, Roger,8
 Skales,undirected, wife,33
 Skales,undirected, Treatwell,15
 Anne,undirected, Skales,36
 Changeable,undirected, Skales,29
 usurer,undirected, wife,1
 Slightall,undirected, scrivener,3
 Anne,undirected, scrivener,2
 Anne,undirected, Bernard,1
 Bernard,undirected, John,32
 Bernard,undirected, woman,15
 John,undirected, woman,27
 John,undirected, constable,8
 constable,undirected, woman,25
 John,undirected, husband,58
 husband,undirected, woman,29
 constable,undirected, husband,1
 husband,undirected, wife,4
 Bernard,undirected, husband,6
 John,undirected, Skales,10
 Gefrey,undirected, Skales,21
 Roger,undirected, Treatwell,7
 Roger,undirected, Skales,10
 Changeable,undirected, Gefrey,5
 Anne,undirected, Gefrey,4
 Skales,undirected, woman,6
 1_gentleman,undirected, woman,2
 2_gentleman,undirected, woman,4
 Treatwell,undirected, woman,4
 1_gentleman,undirected, Treatwell,2
 1_gentleman,undirected, Skales,3
 2_gentleman,undirected, Skales,1
 2_gentleman,undirected, Gefrey,1
 Gefrey,undirected, Treatwell,3
 2_gentleman,undirected, Treatwell,1
 1_gentleman,undirected, 2_gentleman,6
 1_gentleman,undirected, Changeable,5
 Changeable,undirected, woman,4
 Anne,undirected, woman,2
 2_gentleman,undirected, Changeable,5
 2_gentleman,undirected, John,4
 1_gentleman,undirected, John,1
 1_gentleman,undirected, Gefrey,1
 Gefrey,undirected, John,3
 Changeable,undirected, John,10
 Skales,undirected, Slightall,20
 Gefrey,undirected, wife,7
 Changeable,undirected, usurer,4
 Changeable,undirected, scrivener,1
 Bernard,undirected, Changeable,14
 Bernard,undirected, Slightall,2
 John,undirected, Slightall,5
 Roger,undirected, wife,2
