Source,Type,Target,Weight
 Tapwell,undirected, Wellborn,24
 Froth,undirected, Tapwell,14
 Froth,undirected, Wellborn,6
 Alworth,undirected, Wellborn,28
 Alworth,undirected, Order,2
 Amble,undirected, Order,10
 Amble,undirected, Furnace,21
 Furnace,undirected, Order,22
 Furnace,undirected, Watchall,5
 Order,undirected, Watchall,3
 Alworth,undirected, Amble,2
 Lady,undirected, Order,5
 Furnace,undirected, Lady,9
 Alworth,undirected, Lady,18
 Alworth,undirected, Greedy,3
 Greedy,undirected, Overreach,43
 Order,undirected, Overreach,1
 Greedy,undirected, Order,2
 Furnace,undirected, Greedy,11
 Furnace,undirected, Overreach,3
 Marall,undirected, Overreach,94
 Greedy,undirected, Marall,14
 Overreach,undirected, Wellborn,42
 Greedy,undirected, Watchall,1
 Furnace,undirected, Wellborn,10
 Wellborn,undirected, woman,2
 chambermaid,undirected, woman,12
 Watchall,undirected, woman,1
 Amble,undirected, Watchall,1
 Amble,undirected, Wellborn,1
 Order,undirected, Wellborn,8
 Order,undirected, chambermaid,2
 Wellborn,undirected, chambermaid,1
 Lady,undirected, Wellborn,25
 Marall,undirected, Wellborn,80
 Alworth,undirected, chambermaid,1
 Alworth,undirected, woman,2
 Furnace,undirected, chambermaid,1
 Alworth,undirected, Furnace,2
 Order,undirected, woman,1
 Furnace,undirected, woman,1
 Alworth,undirected, Marall,3
 Watchall,undirected, Wellborn,2
 Marall,undirected, Watchall,1
 Amble,undirected, Marall,1
 Furnace,undirected, Marall,3
 Marall,undirected, Order,2
 Marall,undirected, woman,2
 Marall,undirected, chambermaid,1
 Lady,undirected, woman,2
 Lady,undirected, Marall,10
 Lovell,undirected, Marall,2
 Alworth,undirected, Lovell,28
 Alworth,undirected, Overreach,16
 Margaret,undirected, Overreach,31
 Lovell,undirected, Overreach,54
 Greedy,undirected, Lovell,7
 Lovell,undirected, Margaret,14
 Greedy,undirected, Lady,4
 Lady,undirected, Lovell,37
 Lady,undirected, Overreach,21
 Lovell,undirected, Wellborn,8
 Lady,undirected, Margaret,1
 Amble,undirected, Lady,1
 Amble,undirected, woman,1
 Lady,undirected, Tapwell,1
 Greedy,undirected, Wellborn,6
 Greedy,undirected, Tapwell,3
 Froth,undirected, Greedy,2
 1_creditor,undirected, Wellborn,4
 2_creditor,undirected, Wellborn,4
 3_creditor,undirected, Wellborn,1
 3_creditor,undirected, Marall,1
 Alworth,undirected, Margaret,13
 Overreach,undirected, Willdo,9
 Wellborn,undirected, Willdo,2
 Margaret,undirected, Willdo,1
