Source,Type,Target,Weight
 Quicksilver,undirected, Touchstone,66
 Golding,undirected, Quicksilver,25
 Golding,undirected, Touchstone,59
 Touchstone,undirected, page,2
 Gertrude,undirected, Golding,4
 Gertrude,undirected, Mildred,9
 Gertrude,undirected, Poldavy,6
 Bettrice,undirected, Gertrude,2
 Gertrude,undirected, Touchstone,15
 Gertrude,undirected, Petronel,22
 Petronel,undirected, Touchstone,12
 Touchstone,undirected, mrs_Touchstone,8
 Gertrude,undirected, mrs_Touchstone,35
 Mildred,undirected, Touchstone,10
 Golding,undirected, Mildred,4
 Security,undirected, Touchstone,5
 Quicksilver,undirected, Security,46
 Quicksilver,undirected, Sindefy,7
 Security,undirected, Spendall,2
 Quicksilver,undirected, Spendall,3
 Security,undirected, Sindefy,1
 Security,undirected, Winifrid,10
 Petronel,undirected, Quicksilver,70
 Gertrude,undirected, Quicksilver,13
 Gertrude,undirected, Security,14
 Gertrude,undirected, Sindefy,28
 Petronel,undirected, Security,30
 Bramble,undirected, Petronel,4
 Bramble,undirected, messenger,1
 Petronel,undirected, messenger,1
 Petronel,undirected, Seagull,20
 Petronel,undirected, Spendall,3
 Security,undirected, coachman,1
 Hamlet,undirected, coachman,1
 Hamlet,undirected, Potkin,1
 Potkin,undirected, Sindefy,2
 Fond,undirected, Potkin,1
 Fond,undirected, Gazer,9
 Gazer,undirected, Gertrude,1
 Gertrude,undirected, Hamlet,3
 Hamlet,undirected, mrs_Touchstone,1
 Golding,undirected, mrs_Touchstone,1
 Golding,undirected, Petronel,2
 Quicksilver,undirected, scrivener,1
 Gertrude,undirected, scrivener,1
 Petronel,undirected, mrs_Touchstone,2
 Petronel,undirected, Scapethrift,1
 Scapethrift,undirected, drawer,2
 Spendall,undirected, drawer,1
 Scapethrift,undirected, Spendall,1
 Seagull,undirected, drawer,1
 Seagull,undirected, Spendall,4
 Scapethrift,undirected, Seagull,4
 Bramble,undirected, Security,12
 Seagull,undirected, Security,3
 Quicksilver,undirected, Seagull,6
 Security,undirected, drawer,3
 Petronel,undirected, drawer,2
 Bramble,undirected, Seagull,1
 Billingsgate,undirected, Security,1
 Billingsgate,undirected, Slitgut,1
 Security,undirected, Slitgut,8
 Slitgut,undirected, drawer,1
 Winifrid,undirected, drawer,8
 Slitgut,undirected, Winifrid,1
 Quicksilver,undirected, Slitgut,1
 1_gentleman,undirected, Petronel,3
 2_gentleman,undirected, Petronel,2
 1_gentleman,undirected, 2_gentleman,1
 2_gentleman,undirected, Seagull,1
 Quicksilver,undirected, Winifrid,1
 Quicksilver,undirected, constable,2
 Golding,undirected, constable,12
 Touchstone,undirected, constable,4
 Golding,undirected, Spendall,1
 Spendall,undirected, Touchstone,2
 Sindefy,undirected, mrs_Touchstone,4
 Touchstone,undirected, Wolf,20
 Golding,undirected, Wolf,12
 Holdfast,undirected, Wolf,4
 Bramble,undirected, Holdfast,2
 Holdfast,undirected, Security,5
 Quicksilver,undirected, friend,12
 1_prisoner,undirected, friend,13
 2_prisoner,undirected, friend,5
 2_prisoner,undirected, Bramble,1
 Bramble,undirected, Quicksilver,1
 Quicksilver,undirected, Wolf,3
 1_prisoner,undirected, Wolf,3
 1_prisoner,undirected, 2_prisoner,3
 2_prisoner,undirected, Petronel,1
 Holdfast,undirected, Petronel,1
 Mildred,undirected, mrs_Touchstone,2
 Gertrude,undirected, Spendall,1
 Mildred,undirected, Winifrid,1
 Sindefy,undirected, Winifrid,1
 Sindefy,undirected, Touchstone,1
 Mildred,undirected, Wolf,4
 Wolf,undirected, mrs_Touchstone,1
 Wolf,undirected, friend,2
 1_prisoner,undirected, Quicksilver,1
 Golding,undirected, friend,1
 Touchstone,undirected, friend,1
 Security,undirected, Wolf,1
