#Pistol_2H4, Pistol
#HenryV_H5, Prince_Hal
#Peto_1H4, Peto
#Morton_2H4, Morton
#MESSENGERS.Gower_2H4, Master_Gower
#Porter_2H4, porter
#Mouldy_2H4, Mouldy
#Gloucester_2H4, Gloucester
#Bedford_H5 #Clarence_2H4 #Gloucester_2H4, ####
#Travers_2H4, Travers
#Silence_2H4, Master_Silence
#DRAWERS.Francis_1H4, Francis
#LadyPercy_1H4, Lady_Percy
#Colevile_2H4, Colevile
#ChiefJustice_2H4, Chief_Justice
#LordBardolph_2H4, Lord_Bardolph
#Warwick_2H4, Warwick
#DRAWERS.Will_2H4, Will
#Shadow_2H4, Shadow
#MESSENGERS.1_2H4, messenger
#MistressQuickly_1H4, hostess
#Bedford_H5, Lancaster
#LadyNorthumberland_2H4, Lady_Northumberland
#HenryIV_1H4, King_Henry_IV
#Clarence_2H4, Clarence
#DRAWERS.X_2H4, drawer_second
#Epilogue_2H4, ####
#DRAWERS.1_2H4, drawer_first
#Davy_2H4, Davy
#Wart_2H4, Wart
#Gloucester_2H4 #Clarence_2H4, ####
#Harcourt_2H4, Harcourt
#Archbishop_1H4, archbishop
#Feeble_2H4, Feeble
#Mowbray_2H4, Lord_Mowbray
#Northumberland_R2, Northumberland
#OFFICERS.Snare_2H4, officer_Snare
#Falstaff_1H4, Falstaff
#GROOMS.1_2H4, groom_first
#Bardolph_1H4, Bardolph
#Hastings_2H4, Lord_Hastings
#SERVANTS.FALSTAFF.1_2H4, page
#Bullcalf_2H4, Bullcalf
#HenryV_H5 #Poins_1H4, ####
#Shallow_2H4, Shallow
#Poins_1H4, Poins
#OFFICERS.Fang_2H4, officer_Fang
#BEADLES.0.1_2H4, beadle
#SERVANTS.CHIEFJUSTICE.1_2H4, servant
#OFFICERS.Fang_2H4 #OFFICERS.Snare_2H4, ####
#Chorus_2H4, ####
#Westmoreland_1H4, Westmoreland
#DollTearsheet_2H4, Doll 
#GROOMS.2_2H4, groom_second
