	character	line_rank	word_rank	WD_rank	BC_rank
0	1_gentleman	20	22	20	27
1	1_prisoner	13	15	14	23
2	2_gentleman	20	24	20	26
3	2_prisoner	16	16	17	19
4	Bettrice	21	34	21	27
5	Billingsgate	21	28	21	27
6	Bramble	14	14	13	13
7	Fond	17	26	17	25
8	Gazer	17	23	17	7
9	Gertrude	4	3	4	1
10	Golding	6	6	6	11
11	Hamlet	19	29	19	14
12	Holdfast	16	25	16	24
13	Mildred	12	12	12	20
14	Petronel	3	5	3	2
15	Poldavy	19	20	19	27
16	Potkin	20	30	20	12
17	Quicksilver	1	2	1	4
18	Scapethrift	18	21	18	27
19	Seagull	10	10	10	15
20	Security	5	4	5	3
21	Sindefy	9	11	9	6
22	Slitgut	16	7	16	21
23	Spendall	15	17	15	10
24	Touchstone	2	1	2	5
25	Winifrid	14	12	13	17
26	Wolf	8	9	8	9
27	coachman	21	27	21	22
28	constable	15	18	15	27
29	drawer	15	13	15	16
30	friend	11	19	11	18
31	messenger	21	32	21	27
32	mrs_Touchstone	7	8	7	8
33	page	21	31	21	27
34	scrivener	21	33	21	27
