	character	line_rank	word_rank	WD_rank	BC_rank
0	Bardolph	21	20	8	14
1	Bullcalf	24	26	22	26
2	Chief_Justice	7	6	4	13
3	Clarence	22	24	18	22
4	Colevile	27	33	22	26
5	Davy	20	21	18	25
6	Doll	16	12	7	10
7	Falstaff	1	1	1	1
8	Feeble	26	28	20	26
9	Francis	26	35	24	5
10	Gloucester	23	25	19	24
11	Harcourt	25	34	26	26
12	King_Henry_IV	2	3	6	6
13	Lady_Northumberland	28	38	25	26
14	Lady_Percy	17	19	25	26
15	Lancaster	8	8	12	9
16	Lord_Bardolph	11	11	16	8
17	Lord_Hastings	15	18	17	7
18	Lord_Mowbray	14	17	15	19
19	Master_Gower	26	35	23	26
20	Master_Silence	19	22	13	25
21	Morton	12	13	21	26
22	Mouldy	25	29	22	26
23	Northumberland	10	10	17	2
24	Peto	26	37	26	26
25	Pistol	15	14	7	16
26	Poins	18	16	9	26
27	Prince_Hal	3	2	3	4
28	Shadow	32	45	25	26
29	Shallow	5	4	2	15
30	Travers	23	27	26	26
31	Wart	32	46	25	26
32	Warwick	13	15	10	17
33	Westmoreland	9	9	14	18
34	Will	29	39	26	26
35	archbishop	4	7	11	12
36	beadle	26	31	23	21
37	drawer_first	26	32	25	26
38	drawer_second	31	44	26	26
39	groom_first	31	43	25	11
40	groom_second	32	47	26	26
41	hostess	6	5	5	3
42	messenger	28	40	26	26
43	officer_Fang	30	36	21	20
44	officer_Snare	31	42	25	26
45	page	23	23	17	23
46	porter	28	41	25	26
47	servant	27	30	20	26
