	character	line_rank	word_rank	WD_rank	BC_rank
0	1_messenger	18	27	19	22
1	1_sergeant	20	30	21	22
2	2_sergeant	19	22	20	13
3	3_sergeant	18	28	19	8
4	Ballance	21	23	22	22
5	Baskethilt	19	29	20	22
6	Blanke	11	15	11	16
7	Bubble	2	4	2	2
8	Gartred	7	7	7	12
9	Geraldine	8	8	8	12
10	Hold	15	16	15	9
11	Joyce	5	5	5	21
12	Lionel	6	6	6	3
13	Lodge	19	25	20	20
14	Longfield	9	11	9	7
15	Ninnihammer	20	32	21	22
16	Phillis	19	24	20	22
17	Pursenet	12	14	12	14
18	Rash	4	3	4	4
19	Scattergood	6	9	6	6
20	Spendall	1	1	1	1
21	Sprinkle	20	31	21	22
22	Staines	3	2	3	5
23	Sweatman	13	13	13	18
24	Tickleman	13	12	13	15
25	boy	18	18	19	22
26	drawer	16	27	17	11
27	fox	15	20	16	10
28	old_Geraldine	21	26	22	22
29	prisoner	17	17	18	22
30	servant(s)	14	19	14	19
31	swaggerer	20	33	21	22
32	wench	18	21	19	22
33	widow	10	10	10	17
