	character	line_rank	word_rank	WD_rank	BC_rank
0	1_Lord	14	21	13	20
1	1_courtier_Lord	8	10	7	12
2	1_factor	21	29	21	20
3	1_prentice	21	30	21	7
4	2_Lord	15	12	14	20
5	2_courtier_Lord	11	13	10	18
6	2_factor	24	37	24	20
7	2_prentice	21	20	21	11
8	3_courtier_Lord	18	16	19	20
9	Drake	23	22	23	20
10	Gresham	2	3	2	1
11	Hobson	1	2	1	2
12	Honesty	12	25	11	19
13	Hunsdon	23	34	23	20
14	John	3	1	3	4
15	Lady_Ramsey	6	7	5	13
16	Leicester	16	18	15	20
17	Nowell	4	4	4	5
18	Queen	7	6	6	3
19	Quick	13	15	12	15
20	Ramsey	9	9	8	6
21	Sussex	23	32	23	20
22	Tawnycoat	5	5	4	9
23	Timothy	10	8	9	14
24	ambassador	21	31	21	20
25	boy	21	27	21	20
26	captain	24	23	24	20
27	clown	17	24	16	17
28	curtez	12	11	11	16
29	factor	17	14	17	20
30	gentleman	23	35	23	20
31	interpreter	18	26	18	10
32	marchant	17	19	16	8
33	pedlar	24	36	24	20
34	post	21	17	21	20
35	pursuivant	24	33	24	20
36	sheriff	20	21	20	20
37	sword_bearer	22	32	22	20
38	wench	19	28	19	20
39	workman	22	31	22	20
