	character	line_rank	word_rank	WD_rank	BC_rank
0	1_knight	20	17	20	15
1	1_soldier	20	23	20	15
2	2_boy	20	24	20	15
3	2_knight	19	18	19	15
4	2_soldier	20	24	20	15
5	George	13	12	13	11
6	Greengoose	18	22	18	15
7	Hammerton	19	25	19	15
8	Humphrey	7	6	7	10
9	Jasper	5	5	5	7
10	Lady	14	14	14	15
11	Luce	8	9	8	9
12	Michael	12	17	12	15
13	Rafe	3	2	3	1
14	Tim	16	19	16	14
15	barber	14	16	14	15
16	boy	10	10	10	13
17	citizen	2	3	2	5
18	host	15	11	15	15
19	man	18	15	18	13
20	merchant	4	7	4	3
21	mrs_Merrithought	9	8	9	6
22	old_Merrithought	6	4	6	4
23	prologue	11	13	11	15
24	sergeant	18	20	18	8
25	servant	20	26	20	15
26	tapster	17	21	17	12
27	wife	1	1	1	2
28	woman	19	27	19	15
