	character	line_rank	word_rank	WD_rank	BC_rank
0	2_customer	26	30	25	22
1	4_customer	27	29	26	24
2	5_customer	27	35	26	24
3	Almanach	7	12	7	16
4	Band	21	23	20	14
5	Broker	14	13	14	12
6	Censure	15	16	15	4
7	Cymbal	5	9	5	15
8	Expectation	15	17	15	24
9	Fitton	3	8	3	9
10	Leatherleg	26	34	25	24
11	Lickfinger	9	5	9	5
12	Madrigal	11	15	11	19
13	Mirth	13	6	12	10
14	Mortgage	24	27	23	20
15	Pecunia	12	10	13	3
16	Pennyboy_Canter	4	3	4	8
17	Pennyboy_junior	1	1	1	1
18	Pennyboy_senior	2	2	2	2
19	Picklock	6	4	6	13
20	Pyedmantle	19	20	19	23
21	Shunfield	8	14	8	19
22	Statute	20	22	20	17
23	Tatle	16	11	16	6
24	Thomas	10	7	10	7
25	Wax	23	26	22	18
26	bookholder	27	33	26	24
27	clerk	24	25	23	21
28	dopper	23	24	22	24
29	fashioner	18	19	17	24
30	haberdasher	27	32	26	24
31	porter	25	28	24	24
32	prologue	22	21	21	24
33	register	17	18	18	11
34	spurrier	26	31	25	24
