	character	line_rank	word_rank	WD_rank	BC_rank
0	1_clown	14	16	15	11
1	2_clown	14	17	15	13
2	3_clown	16	21	17	18
3	Aeolous	15	27	16	18
4	Autumn	7	7	7	18
5	Bounty	15	20	16	18
6	Conceit	8	9	8	4
7	Cupid	14	25	15	16
8	Delight	6	8	5	5
9	Detraction	15	15	16	18
10	Folly	2	2	2	2
11	Fortune	14	24	15	10
12	Health	13	11	14	14
13	Humour	3	3	3	6
14	Plenty	12	14	13	17
15	Pomona	10	10	11	12
16	Raybright	1	1	1	1
17	Spring	4	6	4	15
18	Summer	9	12	10	7
19	Sun	5	5	6	8
20	Time	14	18	15	18
21	Winter	11	4	12	3
22	dancer	17	26	18	18
23	forester	15	25	17	9
24	priest	7	13	9	18
25	soldier	16	22	17	18
26	spaniard	13	19	14	18
27	tailor	17	23	18	18
