	character	line_rank	word_rank	WD_rank	BC_rank
0	1_gallant	17	19	16	16
1	1_servant	18	25	17	16
2	1_wench	17	22	16	16
3	2_gallant	17	20	16	16
4	Bess	16	16	15	16
5	Blanda	12	15	11	13
6	Dalavill	7	6	7	6
7	Prudentilla	13	13	12	14
8	Reignald	1	1	1	1
9	Ricott	10	10	10	15
10	Robin	14	12	13	16
11	Scapha	15	11	14	16
12	Wincott	6	5	6	7
13	clown	5	3	5	5
14	drawer	18	24	17	16
15	gentleman	17	21	16	16
16	old_Geraldine	9	9	9	11
17	old_Lionel	2	4	2	2
18	owner	16	18	15	12
19	rioter	12	17	11	10
20	servant	18	23	17	16
21	usurer	11	14	11	8
22	wife	8	8	8	9
23	young_Geraldine	3	2	3	4
24	young_Lionel	4	7	4	3
