,character,direction,word_count,word_rank,BC_rank,difference,ratio
0,1_gallant,Betweeness,20,19,16,3,0.125
1,1_servant,Betweeness,3,25,16,9,0.375
2,1_wench,Betweeness,11,22,16,6,0.25
3,2_gallant,Betweeness,18,20,16,4,0.167
4,Bess,Equal,208,16,16,0,0.0
5,Blanda,Betweeness,216,15,13,2,0.083
6,Dalavill,Equal,1483,6,6,0,0.0
7,Prudentilla,Words,308,13,14,1,0.042
8,Reignald,Equal,3886,1,1,0,0.0
9,Ricott,Words,408,10,15,5,0.208
10,Robin,Words,369,12,16,4,0.167
11,Scapha,Words,396,11,16,5,0.208
12,Wincott,Words,1613,5,7,2,0.083
13,clown,Words,2158,3,5,2,0.083
14,drawer,Betweeness,5,24,16,8,0.333
15,gentleman,Betweeness,16,21,16,5,0.208
16,old_Geraldine,Words,1169,9,11,2,0.083
17,old_Lionel,Betweeness,1987,4,2,2,0.083
18,owner,Betweeness,118,18,12,6,0.25
19,rioter,Betweeness,182,17,10,7,0.292
20,servant,Betweeness,6,23,16,7,0.292
21,usurer,Betweeness,307,14,8,6,0.25
22,wife,Words,1235,8,9,1,0.042
23,young_Geraldine,Words,3753,2,4,2,0.083
24,young_Lionel,Betweeness,1464,7,3,4,0.167
