,character,direction,word_count,word_rank,BC_rank,difference,ratio
0,1_clown,Betweeness,116,16,11,5,0.185
1,2_clown,Betweeness,114,17,13,4,0.148
2,3_clown,Betweeness,67,21,18,3,0.111
3,Aeolous,Betweeness,10,27,18,9,0.333
4,Autumn,Words,405,7,18,11,0.407
5,Bounty,Betweeness,70,20,18,2,0.074
6,Conceit,Betweeness,319,9,4,5,0.185
7,Cupid,Betweeness,50,25,16,9,0.333
8,Delight,Betweeness,330,8,5,3,0.111
9,Detraction,Words,126,15,18,3,0.111
10,Folly,Equal,2187,2,2,0,0.0
11,Fortune,Betweeness,53,24,10,14,0.519
12,Health,Words,282,11,14,3,0.111
13,Humour,Words,1336,3,6,3,0.111
14,Plenty,Words,144,14,17,3,0.111
15,Pomona,Words,289,10,12,2,0.074
16,Raybright,Equal,2485,1,1,0,0.0
17,Spring,Words,582,6,15,9,0.333
18,Summer,Betweeness,271,12,7,5,0.185
19,Sun,Words,621,5,8,3,0.111
20,Time,Equal,110,18,18,0,0.0
21,Winter,Betweeness,943,4,3,1,0.037
22,dancer,Betweeness,23,26,18,8,0.296
23,forester,Betweeness,50,25,9,16,0.593
24,priest,Words,250,13,18,5,0.185
25,soldier,Betweeness,57,22,18,4,0.148
26,spaniard,Betweeness,97,19,18,1,0.037
27,tailor,Betweeness,54,23,18,5,0.185
