,character,direction,word_count,word_rank,BC_rank,difference,ratio
0,1_gentleman,Equal,34,15,15,0,0.0
1,1_woman,Betweeness,41,14,4,10,0.526
2,2_gentleman,Betweeness,22,17,15,2,0.105
3,2_servant,Words,567,11,15,4,0.211
4,2_woman,Betweeness,22,17,13,4,0.211
5,3_woman,Betweeness,12,18,8,10,0.526
6,4_woman,Betweeness,26,16,15,1,0.053
7,Belleur,Betweeness,2922,2,1,1,0.053
8,Lillia_Bianca,Equal,2823,3,3,0,0.0
9,Lugier,Words,1298,8,10,2,0.105
10,Mariana,Equal,34,15,15,0,0.0
11,Mirabel,Words,5947,1,2,1,0.053
12,Nantolet,Equal,556,12,12,0,0.0
13,Oriana,Words,1305,7,11,4,0.211
14,Pinac,Words,1672,5,6,1,0.053
15,Rosalura,Words,1885,4,5,1,0.053
16,boy,Words,118,13,15,2,0.105
17,de_Gard,Words,1549,6,7,1,0.053
18,factor,Betweeness,609,10,9,1,0.053
19,la_Castre,Words,630,9,14,5,0.263
