,character,direction,word_count,word_rank,BC_rank,difference,ratio
0,1_officer,Betweeness,4,22,20,2,0.095
1,2_officer,Betweeness,23,21,20,1,0.048
2,Asotus,Equal,5607,1,1,0,0.0
3,Ballio,Betweeness,2913,3,2,1,0.048
4,Bomolocus,Words,311,13,15,2,0.095
5,Chaerilus,Betweeness,301,14,11,3,0.143
6,Chremylus,Betweeness,270,18,16,2,0.095
7,Demetrius,Words,719,9,19,10,0.476
8,Dypsas,Words,717,10,17,7,0.333
9,Evadne,Equal,1285,6,6,0,0.0
10,Hyperbolus,Betweeness,271,17,12,5,0.238
11,Paegnion,Betweeness,434,12,7,5,0.238
12,Pamphilus,Betweeness,1142,8,4,4,0.19
13,Phronesium,Words,279,15,18,3,0.143
14,Phryne,Words,605,11,13,2,0.095
15,Simo,Words,1377,5,8,3,0.143
16,Staphyla,Equal,134,20,20,0,0.0
17,Techmessa,Words,1600,4,10,6,0.286
18,Thrasimachus,Betweeness,219,19,14,5,0.238
19,Tyndarus,Words,4110,2,3,1,0.048
20,priest,Betweeness,275,16,9,7,0.333
21,sexton,Betweeness,1185,7,5,2,0.095
