,character,direction,word_count,word_rank,BC_rank,difference,ratio
0,1_sergeant,Betweeness,48,23,13,10,0.4
1,2_sergeant,Betweeness,7,26,20,6,0.24
2,Allum,Betweeness,248,14,11,3,0.12
3,Bellamont,Words,5175,1,2,1,0.04
4,Chartley,Betweeness,100,20,9,11,0.44
5,Doll,Betweeness,3080,3,1,2,0.08
6,Featherstone,Betweeness,1023,7,4,3,0.12
7,Full-moon,Words,217,16,17,1,0.04
8,Greenshield,Words,1742,4,7,3,0.12
9,Hans,Words,298,13,19,6,0.24
10,Hornet,Words,373,12,16,4,0.16
11,Kate,Words,1084,6,8,2,0.08
12,Leapfrog,Betweeness,59,22,10,12,0.48
13,Leverpool,Betweeness,222,15,6,9,0.36
14,Mayberry,Words,3213,2,3,1,0.04
15,Philip,Betweeness,768,8,5,3,0.12
16,bawd,Words,377,11,15,4,0.16
17,captain,Words,1569,5,14,9,0.36
18,chamberlain,Words,111,19,20,1,0.04
19,drawer,Betweeness,46,24,20,4,0.16
20,hostess,Betweeness,81,21,20,1,0.04
21,mrs_Mayberry,Words,732,9,20,11,0.44
22,musician,Equal,126,18,18,0,0.0
23,prentice,Words,155,17,20,3,0.12
24,squirrel,Words,437,10,12,2,0.08
25,tailor,Betweeness,20,25,20,5,0.2
