,character,direction,word_count,word_rank,BC_rank,difference,ratio
0,1_watchman,Betweeness,24,18,9,9,0.474
1,2_watchman,Betweeness,6,19,9,10,0.526
2,Ancient,Betweeness,114,14,9,5,0.263
3,Bounteous,Words,4611,2,3,1,0.053
4,Folly-wit,Words,4647,1,4,3,0.158
5,Footman,Betweeness,203,11,9,2,0.105
6,Gunwater,Equal,332,9,9,0,0.0
7,Harebrain,Betweeness,1945,3,1,2,0.105
8,Inesse,Betweeness,151,12,9,3,0.158
9,Jesper,Betweeness,90,17,9,8,0.421
10,Lieutenant,Betweeness,662,7,6,1,0.053
11,Penitent,Betweeness,1888,4,2,2,0.105
12,Possibility,Betweeness,112,15,7,8,0.421
13,Rafe,Betweeness,95,16,9,7,0.368
14,constable,Betweeness,146,13,9,4,0.211
15,courtesan,Equal,1777,5,5,0,0.0
16,mother,Words,900,6,8,2,0.105
17,servant,Betweeness,112,15,9,6,0.316
18,succubus,Betweeness,271,10,9,1,0.053
19,wife,Words,536,8,9,1,0.053
