	line_rank	word_rank	WD_rank	BC_rank
line_rank	1.0	0.99	1.0	0.89
word_rank	0.99	1.0	0.99	0.89
WD_rank	1.0	0.99	1.0	0.89
BC_rank	0.89	0.89	0.89	1.0
