	line_rank	word_rank	WD_rank	BC_rank
line_rank	1.0	0.99	1.0	0.82
word_rank	0.99	1.0	0.99	0.81
WD_rank	1.0	0.99	1.0	0.82
BC_rank	0.82	0.81	0.82	1.0
