	line_rank	word_rank	WD_rank	BC_rank
line_rank	1.0	0.9	1.0	0.75
word_rank	0.9	1.0	0.9	0.69
WD_rank	1.0	0.9	1.0	0.76
BC_rank	0.75	0.69	0.76	1.0
