	line_rank	word_rank	WD_rank	BC_rank
line_rank	1.0	0.89	1.0	0.65
word_rank	0.89	1.0	0.9	0.63
WD_rank	1.0	0.9	1.0	0.64
BC_rank	0.65	0.63	0.64	1.0
