Source,Type,Target,Weight
 factor,undirected, marchant,3
 Gresham,undirected, marchant,11
 Gresham,undirected, factor,12
 1_factor,undirected, Gresham,6
 Gresham,undirected, John,40
 1_prentice,undirected, John,1
 1_prentice,undirected, 2_prentice,2
 1_prentice,undirected, Hobson,3
 2_prentice,undirected, Hobson,5
 2_prentice,undirected, pedlar,1
 1_prentice,undirected, pedlar,1
 1_prentice,undirected, Tawnycoat,1
 Hobson,undirected, Tawnycoat,64
 Gresham,undirected, Hobson,41
 Hobson,undirected, John,54
 2_courtier_Lord,undirected, Hobson,3
 1_courtier_Lord,undirected, 2_courtier_Lord,13
 1_courtier_Lord,undirected, 3_courtier_Lord,3
 3_courtier_Lord,undirected, Hobson,1
 1_courtier_Lord,undirected, Hobson,7
 Hobson,undirected, Lady_Ramsey,6
 Lady_Ramsey,undirected, Nowell,20
 Nowell,undirected, Ramsey,2
 Gresham,undirected, Nowell,29
 Gresham,undirected, Ramsey,24
 Hobson,undirected, Ramsey,6
 Hobson,undirected, Nowell,10
 Gresham,undirected, Lady_Ramsey,11
 Lady_Ramsey,undirected, Ramsey,3
 John,undirected, Nowell,9
 John,undirected, Timothy,20
 John,undirected, Tawnycoat,4
 Honesty,undirected, John,6
 Honesty,undirected, Quick,7
 John,undirected, Quick,5
 Honesty,undirected, Timothy,13
 Gresham,undirected, Timothy,1
 Gresham,undirected, Quick,9
 Quick,undirected, clown,3
 Gresham,undirected, clown,12
 Hobson,undirected, clown,1
 Gresham,undirected, Tawnycoat,3
 1_courtier_Lord,undirected, Tawnycoat,19
 2_courtier_Lord,undirected, Tawnycoat,6
 Tawnycoat,undirected, pursuivant,1
 Hobson,undirected, pursuivant,1
 Gresham,undirected, sword_bearer,5
 Ramsey,undirected, sword_bearer,1
 Ramsey,undirected, sheriff,6
 Gresham,undirected, sheriff,1
 Gresham,undirected, workman,3
 Ramsey,undirected, workman,1
 Hobson,undirected, sheriff,2
 Hobson,undirected, workman,1
 Nowell,undirected, workman,1
 Nowell,undirected, sheriff,1
 Hobson,undirected, boy,8
 1_Lord,undirected, Gresham,8
 1_Lord,undirected, 2_Lord,8
 1_Lord,undirected, Ramsey,6
 2_Lord,undirected, Ramsey,5
 Gresham,undirected, interpreter,6
 ambassador,undirected, interpreter,7
 2_Lord,undirected, Gresham,7
 interpreter,undirected, marchant,1
 ambassador,undirected, marchant,1
 Hobson,undirected, Timothy,12
 Hobson,undirected, curtez,10
 John,undirected, curtez,14
 Hobson,undirected, wench,5
 John,undirected, wench,6
 curtez,undirected, wench,1
 1_factor,undirected, Hobson,2
 2_factor,undirected, John,1
 2_factor,undirected, Hobson,1
 Ramsey,undirected, curtez,1
 Queen,undirected, Ramsey,1
 Leicester,undirected, Queen,16
 Gresham,undirected, Queen,4
 Queen,undirected, Sussex,2
 Hobson,undirected, Sussex,1
 Hobson,undirected, Queen,6
 Gresham,undirected, Sussex,1
 Lady_Ramsey,undirected, Queen,1
 Nowell,undirected, Tawnycoat,3
 Lady_Ramsey,undirected, Tawnycoat,1
 1_courtier_Lord,undirected, Nowell,5
 2_courtier_Lord,undirected, 3_courtier_Lord,7
 3_courtier_Lord,undirected, Nowell,1
 2_courtier_Lord,undirected, Nowell,1
 1_courtier_Lord,undirected, gentleman,1
 Nowell,undirected, gentleman,3
 Nowell,undirected, Queen,16
 Leicester,undirected, Nowell,1
 John,undirected, Leicester,1
 1_courtier_Lord,undirected, John,7
 2_courtier_Lord,undirected, John,4
 John,undirected, Lady_Ramsey,25
 1_courtier_Lord,undirected, Lady_Ramsey,3
 2_courtier_Lord,undirected, Lady_Ramsey,2
 John,undirected, Queen,1
 Hunsdon,undirected, Queen,4
 Queen,undirected, post,8
 Queen,undirected, captain,2
 Drake,undirected, Queen,4
