Source,Type,Target,Weight
 Witgood,undirected, courtesan,54
 1_creditor,undirected, Witgood,34
 1_creditor,undirected, 2_creditor,27
 2_creditor,undirected, Witgood,16
 1_creditor,undirected, 3_creditor,8
 3_creditor,undirected, Witgood,18
 Witgood,undirected, host,52
 Lamprey,undirected, Witgood,1
 Hoard,undirected, Lamprey,12
 Hoard,undirected, Lucre,33
 Lamprey,undirected, Lucre,8
 Lucre,undirected, Spichcock,1
 Lamprey,undirected, Spichcock,8
 Lamprey,undirected, Sam,1
 Moneylove,undirected, Sam,7
 Sam,undirected, host,1
 Gulf,undirected, Witgood,3
 Dampit,undirected, Witgood,11
 Gulf,undirected, Lucre,1
 2_servant,undirected, Lucre,2
 Lucre,undirected, host,67
 George,undirected, Lucre,16
 Lucre,undirected, Witgood,106
 Sam,undirected, Witgood,2
 Lucre,undirected, wife,6
 Witgood,undirected, wife,1
 Lucre,undirected, courtesan,22
 Lucre,undirected, Sam,12
 Sam,undirected, wife,9
 Hoard,undirected, Moneylove,21
 1_creditor,undirected, Hoard,32
 2_creditor,undirected, 3_creditor,4
 3_creditor,undirected, Hoard,4
 Hoard,undirected, Witgood,30
 Hoard,undirected, courtesan,53
 Hoard,undirected, host,23
 2_creditor,undirected, Hoard,7
 1_creditor,undirected, courtesan,8
 2_creditor,undirected, courtesan,2
 Hoard,undirected, Niece,5
 George,undirected, Niece,2
 Niece,undirected, drawer,1
 Hoard,undirected, drawer,12
 bartender_William,undirected, drawer,2
 courtesan,undirected, drawer,1
 Witgood,undirected, drawer,5
 drawer,undirected, host,1
 courtesan,undirected, host,5
 boy,undirected, courtesan,4
 Witgood,undirected, vintner,5
 boy,undirected, vintner,1
 Witgood,undirected, boy,5
 Lucre,undirected, vintner,2
 1_creditor,undirected, Lucre,13
 Audrey,undirected, Dampit,43
 1_creditor,undirected, Audrey,1
 Hoard,undirected, Spichcock,1
 1_creditor,undirected, boy,4
 1_creditor,undirected, host,1
 Hoard,undirected, servant,7
 Hoard,undirected, tailor,6
 Hoard,undirected, barber,4
 Hoard,undirected, perfumer,6
 Hoard,undirected, falconer,4
 Hoard,undirected, huntsman,4
 Hoard,undirected, scrivener,1
 Witgood,undirected, scrivener,1
 Niece,undirected, Witgood,4
 Witgood,undirected, song,1
 Dampit,undirected, song,1
 Dampit,undirected, Lamprey,24
 Dampit,undirected, Lancelot,27
 Lamprey,undirected, Lancelot,14
 Dampit,undirected, boy,1
 Audrey,undirected, boy,1
 Audrey,undirected, Lancelot,3
 Hoard,undirected, Lancelot,2
 Dampit,undirected, Hoard,7
 Dampit,undirected, Gulf,4
 Gulf,undirected, Lancelot,5
 Gulf,undirected, Lamprey,1
 Lancelot,undirected, Lucre,1
 Arthur,undirected, Hoard,2
 Hoard,undirected, Lady,5
 Lady,undirected, courtesan,1
 Lamprey,undirected, servant,1
 Hoard,undirected, Onesiphorus,20
 Hoard,undirected, Limber,10
 Hoard,undirected, Kix,4
 Onesiphorus,undirected, courtesan,2
