Source,Type,Target,Weight
 King_Henry_IV,undirected, Westmoreland,10
 Falstaff,undirected, Westmoreland,7
 Falstaff,undirected, Prince_Hal,193
 Poins,undirected, Prince_Hal,39
 Falstaff,undirected, Poins,21
 King_Henry_IV,undirected, Prince_Hal,22
 King_Henry_IV,undirected, Worcester,6
 Northumberland,undirected, Worcester,6
 King_Henry_IV,undirected, Northumberland,2
 Hotspur,undirected, Northumberland,14
 Blunt,undirected, Hotspur,13
 Blunt,undirected, King_Henry_IV,3
 Hotspur,undirected, King_Henry_IV,4
 Hotspur,undirected, Worcester,40
 Hotspur,undirected, first_carrier,1
 first_carrier,undirected, ostler,2
 first_carrier,undirected, travelers_second_carrier,8
 Gadshill,undirected, first_carrier,5
 Gadshill,undirected, travelers_second_carrier,4
 Gadshill,undirected, chamberlain,12
 Gadshill,undirected, Poins,1
 Falstaff,undirected, Gadshill,6
 Bardolph,undirected, Poins,1
 Bardolph,undirected, Gadshill,1
 Peto,undirected, Prince_Hal,9
 Gadshill,undirected, Peto,1
 Falstaff,undirected, first_traveler,2
 Hotspur,undirected, Poins,1
 Hotspur,undirected, Lady_Percy,31
 Hotspur,undirected, servant,6
 Lady_Percy,undirected, Prince_Hal,1
 Poins,undirected, drawer_Francis,9
 Prince_Hal,undirected, drawer_Francis,19
 Prince_Hal,undirected, vintner,2
 Bardolph,undirected, Prince_Hal,14
 Bardolph,undirected, Falstaff,23
 Bardolph,undirected, Peto,2
 Falstaff,undirected, Peto,1
 Falstaff,undirected, hostess,34
 Prince_Hal,undirected, hostess,13
 Prince_Hal,undirected, sheriff,9
 sheriff,undirected, third_carrier,1
 Prince_Hal,undirected, third_carrier,1
 Mortimer,undirected, Peto,1
 Hotspur,undirected, Mortimer,6
 Glendower,undirected, Hotspur,30
 Glendower,undirected, Mortimer,16
 Mortimer,undirected, Worcester,2
 King_Henry_IV,undirected, Mortimer,1
 Falstaff,undirected, King_Henry_IV,5
 Bardolph,undirected, hostess,1
 Falstaff,undirected, Hotspur,5
 Douglas,undirected, Hotspur,17
 Hotspur,undirected, third_messenger,5
 Worcester,undirected, third_messenger,3
 Hotspur,undirected, Vernon,18
 Douglas,undirected, Vernon,6
 Douglas,undirected, Worcester,6
 Douglas,undirected, Falstaff,1
 Vernon,undirected, Worcester,4
 Blunt,undirected, Worcester,1
 Blunt,undirected, archbishop,1
 Sir_Michael,undirected, archbishop,8
 King_Henry_IV,undirected, archbishop,1
 Prince_Hal,undirected, Worcester,1
 Falstaff,undirected, Worcester,1
 Hotspur,undirected, first_messenger,2
 Hotspur,undirected, second_messenger,2
 Blunt,undirected, Douglas,4
 King_Henry_IV,undirected, Lancaster,2
 Lancaster,undirected, Prince_Hal,7
 Prince_Hal,undirected, Westmoreland,1
 Douglas,undirected, Prince_Hal,2
 Douglas,undirected, King_Henry_IV,2
 Hotspur,undirected, Prince_Hal,7
 Falstaff,undirected, Lancaster,1
