Source,Type,Target,Weight
 Loveless_elder,undirected, Loveless_younger,78
 Loveless_elder,undirected, Savil,20
 Abigal,undirected, Loveless_elder,59
 Abigal,undirected, Loveless_younger,1
 Lady,undirected, Loveless_elder,264
 Lady,undirected, Loveless_younger,7
 Loveless_younger,undirected, Savil,92
 Abigal,undirected, Welford,51
 Roger,undirected, Welford,54
 Roger,undirected, Savil,1
 Loveless_younger,undirected, captain,28
 Savil,undirected, captain,13
 Savil,undirected, traveler,4
 captain,undirected, poet,7
 poet,undirected, traveler,3
 Loveless_younger,undirected, traveler,1
 captain,undirected, traveler,2
 Loveless_younger,undirected, poet,6
 Lady,undirected, Welford,52
 Abigal,undirected, Roger,25
 Martha,undirected, Roger,3
 Martha,undirected, Welford,27
 Abigal,undirected, Martha,7
 Welford,undirected, servant,18
 Loveless_younger,undirected, Welford,7
 Savil,undirected, poet,1
 Loveless_elder,undirected, captain,3
 Loveless_younger,undirected, Moorecraft,44
 Moorecraft,undirected, widow,14
 Moorecraft,undirected, Savil,24
 Savil,undirected, widow,3
 Loveless_younger,undirected, widow,20
 Moorecraft,undirected, captain,6
 Abigal,undirected, Moorecraft,1
 Loveless_elder,undirected, Welford,67
 Abigal,undirected, Lady,30
 Abigal,undirected, captain,1
 Moorecraft,undirected, poet,1
 Loveless_elder,undirected, Moorecraft,15
 Loveless_elder,undirected, widow,4
 Abigal,undirected, Savil,1
 Lady,undirected, Roger,7
 Lady,undirected, Martha,13
 Loveless_elder,undirected, Martha,10
 Lady,undirected, widow,1
 captain,undirected, widow,6
 Loveless_elder,undirected, servant,4
 Lady,undirected, Moorecraft,3
 Moorecraft,undirected, servant,2
 Loveless_younger,undirected, servant,2
 Moorecraft,undirected, Welford,4
 Lady,undirected, Savil,1
 Loveless_elder,undirected, Roger,2
 Loveless_younger,undirected, Roger,2
