Source,Type,Target,Weight
 Dalavill,undirected, young_Geraldine,20
 clown,undirected, young_Geraldine,32
 Dalavill,undirected, clown,8
 Wincott,undirected, young_Geraldine,32
 Wincott,undirected, wife,17
 wife,undirected, young_Geraldine,50
 Prudentilla,undirected, Wincott,6
 Prudentilla,undirected, young_Geraldine,8
 Prudentilla,undirected, wife,5
 Dalavill,undirected, Wincott,9
 Wincott,undirected, clown,34
 Reignald,undirected, clown,5
 Reignald,undirected, Robin,14
 Reignald,undirected, young_Lionel,76
 Blanda,undirected, young_Lionel,16
 Blanda,undirected, Scapha,6
 Scapha,undirected, young_Lionel,18
 rioter,undirected, young_Lionel,20
 Blanda,undirected, rioter,8
 Wincott,undirected, young_Lionel,2
 Wincott,undirected, usurer,3
 clown,undirected, wife,5
 Dalavill,undirected, wife,12
 Dalavill,undirected, Prudentilla,10
 wife,undirected, young_Lionel,1
 1_gallant,undirected, young_Lionel,1
 1_gallant,undirected, 2_gallant,1
 2_gallant,undirected, young_Lionel,1
 1_wench,undirected, young_Lionel,1
 1_wench,undirected, rioter,3
 1_gallant,undirected, Reignald,2
 2_gallant,undirected, Reignald,2
 Blanda,undirected, Reignald,8
 Reignald,undirected, usurer,21
 rioter,undirected, usurer,1
 Reignald,undirected, rioter,6
 Reignald,undirected, old_Lionel,165
 1_servant,undirected, old_Lionel,2
 Reignald,undirected, Wincott,1
 Wincott,undirected, old_Geraldine,13
 Prudentilla,undirected, old_Geraldine,4
 Dalavill,undirected, old_Geraldine,25
 old_Geraldine,undirected, young_Geraldine,33
 old_Geraldine,undirected, wife,2
 Reignald,undirected, old_Geraldine,1
 old_Lionel,undirected, servant,2
 old_Lionel,undirected, usurer,3
 Reignald,undirected, gentleman,1
 Dalavill,undirected, gentleman,3
 Bess,undirected, young_Geraldine,19
 Bess,undirected, drawer,1
 drawer,undirected, young_Geraldine,1
 Reignald,undirected, young_Geraldine,1
 Reignald,undirected, Ricott,20
 Ricott,undirected, old_Lionel,24
 clown,undirected, old_Lionel,33
 Dalavill,undirected, usurer,3
 Dalavill,undirected, Reignald,1
 usurer,undirected, young_Lionel,1
 Reignald,undirected, owner,6
 old_Lionel,undirected, owner,8
 clown,undirected, owner,2
 Robin,undirected, owner,2
 Robin,undirected, old_Lionel,14
 Ricott,undirected, Robin,1
 Robin,undirected, clown,1
 old_Lionel,undirected, young_Lionel,5
 clown,undirected, young_Lionel,2
 Ricott,undirected, owner,1
 Ricott,undirected, clown,1
 old_Geraldine,undirected, old_Lionel,1
 Wincott,undirected, old_Lionel,2
 old_Lionel,undirected, young_Geraldine,1
 Dalavill,undirected, old_Lionel,2
 usurer,undirected, young_Geraldine,5
 clown,undirected, usurer,1
 Ricott,undirected, old_Geraldine,1
 Prudentilla,undirected, owner,1
