Source,Type,Target,Weight
 Raybright,undirected, priest,21
 Raybright,undirected, Time,1
 Folly,undirected, Time,7
 Folly,undirected, Humour,52
 Folly,undirected, Raybright,90
 Humour,undirected, Raybright,72
 Folly,undirected, Sun,2
 Humour,undirected, Sun,3
 Raybright,undirected, Sun,6
 Spring,undirected, Sun,1
 Raybright,undirected, Spring,22
 Raybright,undirected, spaniard,6
 Health,undirected, Spring,3
 Health,undirected, Raybright,5
 Delight,undirected, Spring,6
 Delight,undirected, Health,2
 Folly,undirected, tailor,2
 Folly,undirected, dancer,1
 Raybright,undirected, dancer,1
 Folly,undirected, spaniard,5
 Raybright,undirected, soldier,3
 Humour,undirected, soldier,1
 Folly,undirected, Spring,4
 Humour,undirected, Spring,2
 Delight,undirected, Humour,1
 Delight,undirected, Raybright,1
 Health,undirected, spaniard,1
 Folly,undirected, Health,1
 Folly,undirected, forester,1
 Summer,undirected, forester,1
 Delight,undirected, Summer,4
 Summer,undirected, Sun,4
 Delight,undirected, Sun,2
 Plenty,undirected, Sun,4
 Aeolous,undirected, Sun,5
 Aeolous,undirected, Summer,1
 Humour,undirected, Summer,2
 Raybright,undirected, Summer,4
 Plenty,undirected, Summer,4
 Folly,undirected, Plenty,1
 Plenty,undirected, Raybright,5
 Pomona,undirected, Raybright,6
 Fortune,undirected, Pomona,1
 Cupid,undirected, Fortune,6
 Cupid,undirected, forester,2
 Fortune,undirected, Raybright,1
 Folly,undirected, Pomona,2
 Humour,undirected, Pomona,6
 Autumn,undirected, Pomona,3
 Autumn,undirected, Raybright,15
 Autumn,undirected, Folly,6
 1_clown,undirected, Raybright,1
 1_clown,undirected, 2_clown,3
 2_clown,undirected, 3_clown,1
 1_clown,undirected, 3_clown,2
 2_clown,undirected, Winter,2
 1_clown,undirected, Winter,1
 Folly,undirected, Winter,1
 2_clown,undirected, Folly,2
 1_clown,undirected, Folly,1
 3_clown,undirected, Winter,1
 Raybright,undirected, Winter,6
 Bounty,undirected, Raybright,4
 Humour,undirected, Winter,3
 Conceit,undirected, Winter,2
 Conceit,undirected, Delight,14
 Conceit,undirected, Detraction,6
 Bounty,undirected, Humour,2
