Source,Type,Target,Weight
 Ballio,undirected, Simo,54
 Asotus,undirected, Ballio,87
 Asotus,undirected, Simo,60
 Asotus,undirected, Tyndarus,63
 Ballio,undirected, Tyndarus,27
 Asotus,undirected, Dypsas,3
 Chremylus,undirected, Dypsas,9
 Asotus,undirected, Chremylus,4
 Chremylus,undirected, Tyndarus,3
 Dypsas,undirected, Tyndarus,13
 Asotus,undirected, Evadne,11
 Evadne,undirected, Tyndarus,48
 Asotus,undirected, Techmessa,7
 Ballio,undirected, Techmessa,40
 Ballio,undirected, Paegnion,6
 Paegnion,undirected, Techmessa,9
 Asotus,undirected, Paegnion,5
 Techmessa,undirected, Tyndarus,24
 Pamphilus,undirected, Tyndarus,18
 Ballio,undirected, Pamphilus,4
 Pamphilus,undirected, Techmessa,24
 Phronesium,undirected, Techmessa,1
 Asotus,undirected, Phronesium,6
 Pamphilus,undirected, Phronesium,4
 Asotus,undirected, Pamphilus,3
 Ballio,undirected, Phronesium,1
 Paegnion,undirected, Tyndarus,2
 1_officer,undirected, Paegnion,1
 1_officer,undirected, Ballio,1
 2_officer,undirected, Ballio,1
 2_officer,undirected, Pamphilus,1
 Paegnion,undirected, Pamphilus,1
 Evadne,undirected, Techmessa,11
 Evadne,undirected, Pamphilus,24
 Chremylus,undirected, Pamphilus,2
 Chremylus,undirected, Evadne,1
 Ballio,undirected, Dypsas,3
 Simo,undirected, Thrasimachus,3
 Asotus,undirected, Thrasimachus,8
 Asotus,undirected, Hyperbolus,8
 Asotus,undirected, Chaerilus,9
 Asotus,undirected, Bomolocus,7
 Chaerilus,undirected, Simo,1
 Bomolocus,undirected, Chaerilus,14
 Asotus,undirected, Phryne,34
 Phryne,undirected, Simo,12
 Hyperbolus,undirected, Thrasimachus,8
 Ballio,undirected, Phryne,6
 Chaerilus,undirected, Hyperbolus,2
 Bomolocus,undirected, Phryne,1
 Ballio,undirected, Hyperbolus,1
 Chaerilus,undirected, Thrasimachus,1
 Bomolocus,undirected, Tyndarus,1
 Evadne,undirected, Thrasimachus,3
 Chaerilus,undirected, Evadne,1
 Simo,undirected, Tyndarus,1
 Asotus,undirected, sexton,12
 Thrasimachus,undirected, sexton,3
 Hyperbolus,undirected, sexton,1
 Bomolocus,undirected, sexton,1
 Ballio,undirected, sexton,2
 Phryne,undirected, sexton,2
 Staphyla,undirected, sexton,11
 Staphyla,undirected, Tyndarus,2
 Tyndarus,undirected, sexton,3
 Dypsas,undirected, Techmessa,1
 Dypsas,undirected, Pamphilus,1
 Asotus,undirected, Demetrius,33
 Ballio,undirected, priest,1
 Tyndarus,undirected, priest,7
 Evadne,undirected, priest,1
 Pamphilus,undirected, priest,1
 Techmessa,undirected, priest,1
 Chremylus,undirected, Demetrius,9
 Demetrius,undirected, Tyndarus,2
 Demetrius,undirected, Pamphilus,1
 Demetrius,undirected, priest,1
 Phronesium,undirected, Simo,4
 Asotus,undirected, priest,4
 priest,undirected, sexton,1
 Asotus,undirected, Staphyla,1
 Phryne,undirected, priest,1
