,character,direction,word_count,word_rank,BC_rank,difference,ratio
0,1_gentleman,Words,81,22,27,5,0.147
2,2_gentleman,Words,63,24,26,2,0.059
3,2_prisoner,Words,135,16,19,3,0.088
4,Bettrice,Betweeness,4,34,27,7,0.206
5,Billingsgate,Betweeness,31,28,27,1,0.029
7,Fond,Betweeness,59,26,25,1,0.029
8,Gazer,Betweeness,69,23,7,16,0.471
11,Hamlet,Betweeness,25,29,14,15,0.441
12,Holdfast,Betweeness,62,25,24,1,0.029
15,Poldavy,Words,92,20,27,7,0.206
16,Potkin,Betweeness,21,30,12,18,0.529
18,Scapethrift,Words,85,21,27,6,0.176
23,Spendall,Betweeness,126,17,10,7,0.206
27,coachman,Betweeness,34,27,22,5,0.147
28,constable,Words,125,18,27,9,0.265
30,friend,Betweeness,108,19,18,1,0.029
31,messenger,Betweeness,13,32,27,5,0.147
33,page,Betweeness,15,31,27,4,0.118
34,scrivener,Betweeness,7,33,27,6,0.176
