A19888-all, ####
A19888-anne, Anne
A19888-bernard, Bernard
A19888-both, ####
A19888-changeable, Changeable
A19888-constable, constable
A19888-devil, Changeable
A19888-gefrey, Gefrey
A19888-gentleman_1, 1_gentleman
A19888-gentleman_2, 2_gentleman
A19888-husband, husband
A19888-john, John
A19888-roger, Roger
A19888-scrivener, scrivener
A19888-skales, Skales
A19888-slightall, Slightall
A19888-treatwell, Treatwell
A19888-usurer, usurer
A19888-wife, wife
A19888-woman, woman
act, ####
dramatis_personae, ####
machine-generated_castlist, ####
play, ####
scene, ####
textual_notes, ####
title_page, ####
to_the_reader, ####
