,character,lines,words,degree,weighted_degree,eigenvector,betweenness,line_rank,word_rank,degree_rank,WD_rank,BC_rank,EC_rank,count_rank,metrics_rank
0,1_watchman,5,24,3,10,0.13921985141057727,0.0,18,18,9,18,9,13,18,12
1,2_watchman,1,6,1,2,0.04571438147457648,0.0,19,19,11,19,9,20,19,14
2,Ancient,12,114,4,24,0.18422962337335563,0.0,14,14,8,14,9,9,14,10
3,Bounteous,219,4611,13,429,0.36996761572671627,36.93333333333334,1,2,1,1,3,2,1,1
4,Folly-wit,198,4647,11,394,0.3416076689932163,22.933333333333334,2,1,3,2,4,4,1,3
5,Footman,22,203,2,44,0.09350546993600048,0.0,10,11,10,10,9,16,10,11
6,Gunwater,29,332,2,58,0.09350546993600047,0.0,9,9,10,9,9,17,9,11
7,Harebrain,85,1945,12,170,0.34788578717193686,47.68333333333334,4,3,2,4,1,3,3,2
8,Inesse,13,151,4,26,0.16994962325247487,0.0,13,12,8,13,9,10,12,10
9,Jesper,8,90,2,16,0.09923217651489222,0.0,16,17,10,16,9,15,16,12
10,Lieutenant,58,662,8,115,0.30522168216854123,6.366666666666667,6,7,5,6,6,6,6,5
11,Penitent,101,1888,13,200,0.38518782389935635,39.81666666666667,3,4,1,3,2,1,3,1
12,Possibility,18,112,6,36,0.23068867845412572,1.4833333333333336,11,15,6,11,7,7,13,7
13,Rafe,7,95,1,14,0.04571438147457661,0.0,17,16,11,17,9,19,16,14
14,constable,14,146,3,28,0.13361351955306805,0.0,12,13,9,12,9,14,12,11
15,courtesan,84,1777,9,168,0.3295519052130947,6.983333333333333,5,5,4,5,5,5,5,4
16,mother,37,900,5,70,0.21774071171389897,0.7999999999999999,7,6,7,7,8,8,6,7
17,servant,12,112,3,24,0.14494655798946882,0.0,14,15,9,14,9,11,14,10
18,succubus,11,271,1,22,0.05061610382028761,0.0,15,10,11,15,9,18,12,13
19,wife,32,536,3,64,0.13963567931573748,0.0,8,8,9,8,9,12,8,9
