,character,lines,words,degree,weighted_degree,eigenvector,betweenness,line_rank,word_rank,degree_rank,WD_rank,BC_rank,EC_rank,count_rank,metrics_rank
0,1_servant,1,8,1,2,0.02200432606309631,0.0,24,29,11,23,23,29,26,21
1,Andrew,42,1170,7,80,0.21183323377875307,6.910966810966809,6,6,5,6,13,7,6,7
2,Ateukin,82,2493,13,162,0.34474478013276066,59.72867965367964,1,1,2,1,4,2,1,2
3,Bartram,25,1018,7,46,0.18440147005590185,37.50324675324675,10,8,5,11,6,11,9,8
4,Bohan,31,1220,4,55,0.11107944371934006,3.25,8,5,8,8,17,19,6,13
5,Countess,23,362,8,46,0.18125870192520985,29.15,12,18,4,11,10,12,15,9
6,Dorothea,75,2022,14,149,0.34327621498344335,103.36713564213565,2,3,1,2,2,3,2,2
7,Douglas,10,333,6,16,0.18491328127023912,2.2666666666666666,16,19,6,16,19,10,17,12
8,Eustace,24,484,6,48,0.11218379510815168,13.40238095238095,11,15,6,10,11,18,13,11
9,Ida,39,844,6,78,0.16057795025725174,5.252380952380952,7,9,6,7,15,14,8,10
10,Jaques,20,367,8,40,0.24275148640691638,12.355266955266956,13,17,4,12,12,6,15,8
11,King_Eng,15,770,6,30,0.173962606302724,49.21655844155845,14,10,6,13,5,13,12,9
12,King_Scot,61,2170,14,118,0.3694271864863742,59.739718614718626,4,2,1,5,3,1,3,2
13,Lady_Anderson,24,369,4,48,0.11668155419854963,2.65,11,16,8,10,18,17,13,13
14,Morton,3,28,4,6,0.13134909464855957,0.0,22,26,8,21,23,15,24,16
15,Nano,60,1057,12,120,0.3284821653031832,32.99545454545454,5,7,3,4,8,4,6,4
16,Oberon,28,594,5,54,0.11816850836415671,6.676623376623376,9,11,7,9,14,16,10,11
17,Ross,5,66,2,10,0.0801598296963865,0.0,20,23,10,19,23,22,21,18
18,Sir_Cuthbert_Anderson,12,573,6,24,0.18789220296434408,3.5691197691197694,15,12,6,14,16,9,13,11
19,Slipper,64,1978,13,124,0.2835573188788416,113.55887445887446,3,4,2,3,1,5,3,2
20,bishop_Andrews,8,490,6,16,0.20311987580091778,1.3599567099567098,17,14,6,16,20,8,15,12
21,cutler,5,23,1,10,0.033836431457384186,0.0,20,28,11,19,23,26,24,19
22,divine,2,317,3,4,0.04529322678083539,29.875541125541126,23,20,9,22,9,23,21,15
23,huntsman,6,105,4,12,0.09531534920388088,0.55,19,22,8,18,22,20,20,17
24,ladies,1,25,2,2,0.03501601361168019,0.0,24,27,10,23,23,24,25,20
25,lawyer,4,500,4,8,0.027594224845493325,34.9547619047619,21,13,8,20,7,28,17,15
26,merchant,2,61,1,4,0.0032927737548652026,0.0,23,24,11,22,23,31,23,21
27,purveyor,10,134,3,20,0.08808128321065103,0.6666666666666666,16,21,9,15,21,21,18,16
28,scout,1,25,2,2,0.00869754048602599,0.0,24,27,10,23,23,30,25,21
29,shoemaker,4,55,1,8,0.0338364314573842,0.0,21,25,11,20,23,25,23,19
30,tailor,7,23,1,14,0.033836431457384165,0.0,18,28,11,17,23,27,23,19
