,character,lines,words,degree,weighted_degree,eigenvector,betweenness,line_rank,word_rank,degree_rank,WD_rank,BC_rank,EC_rank,count_rank,metrics_rank
0,1_Lord,11,163,3,22,0.06874623602843691,0.0,14,21,12,13,20,25,17,17
1,1_courtier_Lord,29,491,8,58,0.20977611629526335,10.142857142857142,8,10,8,7,12,9,9,9
2,1_factor,4,72,2,8,0.0796548138652164,0.0,21,29,13,21,20,22,25,19
3,1_prentice,4,67,5,8,0.11234279596617447,27.499999999999986,21,30,10,21,7,16,25,13
4,2_Lord,10,286,3,20,0.06874623602843688,0.0,15,12,12,14,20,26,13,18
5,2_courtier_Lord,18,253,7,36,0.20417360541002205,1.092857142857143,11,13,9,10,18,10,12,11
6,2_factor,1,5,2,2,0.07802526626227234,0.0,24,37,13,24,20,23,30,20
7,2_prentice,4,173,3,8,0.05750313930546362,11.333333333333327,21,20,12,21,11,29,20,18
8,3_courtier_Lord,7,194,4,12,0.12301342657750874,0.0,18,16,11,19,20,13,17,15
9,Drake,2,161,1,4,0.025438091892098537,0.0,23,22,14,23,20,37,22,23
10,Gresham,117,3456,20,234,0.33618484378637975,245.38095238095246,2,3,2,2,1,2,2,1
11,Hobson,126,3497,23,250,0.402901871329107,242.29603174603184,1,2,1,1,2,1,1,1
12,Honesty,13,135,3,26,0.056906476924878664,0.3333333333333333,12,25,12,11,19,30,18,18
13,Hunsdon,2,21,1,4,0.02543809189209854,0.0,23,34,14,23,20,36,28,23
14,John,101,4091,16,198,0.3210648915004804,103.98333333333332,3,1,3,3,4,4,2,3
15,Lady_Ramsey,37,1057,9,72,0.27053863440038095,8.194444444444445,6,7,7,5,13,5,6,7
16,Leicester,9,186,3,18,0.0950182790135813,0.0,16,18,12,15,20,18,17,16
17,Nowell,52,1807,14,102,0.32454319470702664,62.43253968253969,4,4,4,4,5,3,4,4
18,Queen,35,1148,12,65,0.23603037736237747,154.46349206349208,7,6,5,6,3,7,6,5
19,Quick,12,216,4,24,0.08655811245797823,4.953968253968254,13,15,11,12,15,21,14,14
20,Ramsey,28,563,11,56,0.23293909145676206,42.14999999999999,9,9,6,8,6,8,9,7
21,Sussex,2,26,3,4,0.1050929057573149,0.0,23,32,12,23,20,17,27,18
22,Tawnycoat,51,1726,9,102,0.2426110768991371,18.3,5,5,7,4,9,6,5,6
23,Timothy,23,704,4,46,0.12039054674007757,6.1555555555555586,10,8,11,9,14,14,9,12
24,ambassador,4,28,2,8,0.009538127934099371,0.0,21,31,13,21,20,40,26,23
25,boy,4,83,1,8,0.043422609161162716,0.0,21,27,14,21,20,32,24,21
26,captain,1,154,1,2,0.025438091892098554,0.0,24,23,14,24,20,35,23,23
27,clown,8,142,3,16,0.08898358435365268,1.2595238095238095,17,24,12,16,17,20,20,16
28,curtez,13,315,4,26,0.11285013860468175,1.5277777777777777,12,11,11,11,16,15,11,13
29,factor,8,251,2,15,0.0412173573360469,0.0,17,14,13,17,20,34,15,21
30,gentleman,2,17,2,4,0.05758607805016187,0.0,23,35,13,23,20,28,29,21
31,interpreter,7,88,3,14,0.04224532575933884,18.0,18,26,12,18,10,33,22,18
32,marchant,8,174,4,16,0.046255334791989657,19.5,17,19,11,16,8,31,18,16
33,pedlar,1,11,2,2,0.018305086646986848,0.0,24,36,13,24,20,39,30,24
34,post,4,191,1,8,0.025438091892098533,0.0,21,17,14,21,20,38,19,23
35,pursuivant,1,25,2,2,0.0695699336588311,0.0,24,33,13,24,20,24,28,20
36,sheriff,5,163,4,10,0.13973727351353146,0.0,20,21,11,20,20,11,20,15
37,sword_bearer,3,26,2,6,0.06133713433199559,0.0,22,32,13,22,20,27,27,20
38,wench,6,77,3,12,0.09018765073134667,0.0,19,28,12,19,20,19,23,17
39,workman,3,28,4,6,0.13973727351353143,0.0,22,31,11,22,20,12,26,16
