,character,lines,words,degree,weighted_degree,eigenvector,betweenness,line_rank,word_rank,degree_rank,WD_rank,BC_rank,EC_rank,count_rank,metrics_rank
0,1_messenger,6,56,1,12,0.02862306526810477,0.0,18,27,14,19,22,32,22,21
1,1_sergeant,4,32,2,8,0.04264071986078559,0.0,20,30,13,21,22,30,25,21
2,2_sergeant,5,68,4,10,0.07749644519568552,2.75,19,22,11,20,13,22,20,16
3,3_sergeant,6,44,7,12,0.1449371145515163,5.216666666666667,18,28,8,19,8,13,23,12
4,Ballance,3,64,2,6,0.060123968681360634,0.0,21,23,13,22,22,26,22,20
5,Baskethilt,5,38,2,10,0.0508150432084694,0.0,19,29,13,20,22,27,24,20
6,Blanke,18,183,5,36,0.1122351982463882,2.05,11,15,10,11,16,16,13,13
7,Bubble,142,2409,18,283,0.3116141726192984,89.35952380952381,2,4,2,2,2,2,3,2
8,Gartred,76,1498,10,152,0.24383959843890013,3.1523809523809523,7,7,6,7,12,7,7,8
9,Geraldine,60,982,10,120,0.24383959843890005,3.1523809523809523,8,8,6,8,12,8,8,8
10,Hold,12,175,3,24,0.04702749765557328,5.059523809523809,15,16,12,15,9,28,15,16
11,Joyce,91,2388,9,182,0.2352382003228149,0.25,5,5,7,5,21,10,5,10
12,Lionel,78,2238,15,156,0.2678334361814679,63.58809523809525,6,6,3,6,3,6,6,4
13,Lodge,5,61,2,10,0.030804096590032984,0.5,19,25,13,20,20,31,22,21
14,Longfield,59,660,11,116,0.23869956644668935,7.076190476190476,9,11,5,9,7,9,10,7
15,Ninnihammer,4,25,4,8,0.11228438786580297,0.0,20,32,11,21,22,15,26,17
16,Phillis,5,63,3,10,0.07373841768694409,0.0,19,24,12,20,22,24,21,19
17,Pursenet,17,257,6,34,0.10509353169446865,2.2928571428571427,12,14,9,12,14,18,13,13
18,Rash,106,2773,15,210,0.2883311713855227,45.223809523809514,4,3,3,4,4,4,3,3
19,Scattergood,78,954,14,156,0.2853808159505709,23.904761904761905,6,9,4,6,6,5,7,5
20,Spendall,165,3641,28,323,0.3867254162594014,222.00476190476192,1,1,1,1,1,1,1,1
21,Sprinkle,4,26,1,8,0.028623065268104743,0.0,20,31,14,21,22,33,25,22
22,Staines,127,3273,15,254,0.2947322767785721,24.27619047619047,3,2,3,3,5,3,2,3
23,Sweatman,15,317,6,30,0.10919593425748254,1.6761904761904762,13,13,9,13,18,17,13,14
24,Tickleman,15,351,6,30,0.10270957647696832,2.0666666666666664,13,12,9,13,15,19,12,14
25,boy,6,92,2,12,0.0625947397107252,0.0,18,18,13,19,22,25,18,19
26,drawer,9,56,7,18,0.16099972097196205,3.6500000000000004,16,27,8,17,11,11,21,11
27,fox,12,78,5,22,0.09445041086010884,4.833333333333333,15,20,10,16,10,21,17,14
28,old_Geraldine,3,60,1,6,0.02460162148712284,0.0,21,26,14,22,22,34,23,23
29,prisoner,7,96,2,14,0.0441980125271847,0.0,17,17,13,18,22,29,17,20
30,servant(s),13,91,5,26,0.123719055369103,1.0,14,19,10,14,19,14,16,14
31,swaggerer,4,24,3,8,0.0767952692530063,0.0,20,33,12,21,22,23,26,19
32,wench,6,70,4,12,0.10224327512007624,0.0,18,21,11,19,22,20,19,18
33,widow,33,746,6,66,0.1482180620001567,1.9166666666666665,10,10,9,10,17,12,10,12
