,character,lines,words,degree,weighted_degree,eigenvector,betweenness,line_rank,word_rank,degree_rank,WD_rank,BC_rank,EC_rank,count_rank,metrics_rank
0,1_clown,4,116,5,8,0.16184999474668477,9.436111111111112,14,16,7,15,11,12,15,11
1,2_clown,4,114,4,8,0.10861425766930013,3.011111111111111,14,17,8,15,13,17,15,13
2,3_clown,2,67,3,4,0.06294140971328091,0.0,16,21,9,17,18,23,18,16
3,Aeolous,3,10,2,6,0.06477298292564601,0.0,15,27,10,16,18,22,21,16
4,Autumn,12,405,3,24,0.13623947153602423,0.0,7,7,9,7,18,14,7,12
5,Bounty,3,70,2,6,0.10237976234089059,0.0,15,20,10,16,18,19,17,15
6,Conceit,11,319,3,22,0.059046932787731356,26.694444444444443,8,9,9,8,4,25,8,11
7,Cupid,4,50,2,8,0.022497997345614817,1.0,14,25,10,15,16,27,19,17
8,Delight,15,330,7,30,0.23318590327099284,24.583333333333332,6,8,5,5,5,6,7,5
9,Detraction,3,126,1,6,0.007801189913082427,0.0,15,15,11,16,18,28,15,18
10,Folly,89,2187,16,178,0.3913690319395408,98.71388888888889,2,2,2,2,2,2,2,2
11,Fortune,4,53,3,8,0.08750479797309317,12.233333333333334,14,24,9,15,10,20,19,13
12,Health,6,282,5,12,0.19361049955637066,1.8444444444444446,13,11,7,14,14,9,12,11
13,Humour,72,1336,10,144,0.3187336661782064,21.894444444444442,3,3,3,3,6,3,3,3
14,Plenty,7,144,4,14,0.17674921803756785,0.525,12,14,8,13,17,11,13,12
15,Pomona,9,289,5,18,0.18364758534390285,3.166666666666666,10,10,7,11,12,10,10,10
16,Raybright,136,2485,19,270,0.45617516351568277,139.1861111111111,1,1,1,1,1,1,1,1
17,Spring,20,582,6,38,0.2471452241598935,1.1777777777777778,4,6,6,4,15,5,5,7
18,Summer,10,271,7,20,0.21270516814537715,18.53333333333334,9,12,5,10,7,7,10,7
19,Sun,17,621,8,27,0.27755926739382764,17.46944444444445,5,5,4,6,8,4,5,5
20,Time,4,110,2,8,0.11197623511192191,0.0,14,18,10,15,18,16,16,14
21,Winter,8,943,7,16,0.2059370697300998,39.23888888888889,11,4,5,12,3,8,7,7
22,dancer,1,23,2,2,0.11197623511192192,0.0,17,26,10,18,18,15,21,15
23,forester,3,50,3,4,0.08278175471001915,13.291666666666666,15,25,9,17,9,21,20,14
24,priest,12,250,1,21,0.06026916075404839,0.0,7,13,11,9,18,24,10,15
25,soldier,2,57,2,4,0.10237976234089065,0.0,16,22,10,17,18,18,19,15
26,spaniard,6,97,3,12,0.13755575643330434,0.0,13,19,9,14,18,13,16,13
27,tailor,1,54,1,2,0.05170707435787345,0.0,17,23,11,18,18,26,20,18
