,character,lines,words,degree,weighted_degree,eigenvector,betweenness,line_rank,word_rank,degree_rank,WD_rank,BC_rank,EC_rank,count_rank,metrics_rank
0,Bardolph,21,361,12,60,0.2605994950094489,29.346825396825388,21,20,4,8,14,3,20,7
1,Bullcalf,9,122,3,10,0.09663281408986142,0.0,24,26,13,22,26,20,25,20
2,Chief_Justice,119,1261,11,112,0.2483770081112768,31.220127095127086,7,6,5,4,13,5,6,6
3,Clarence,19,209,7,26,0.15610342713511133,3.5504551004551006,22,24,9,18,22,13,23,15
4,Colevile,5,69,2,10,0.06894393734811967,0.0,27,33,14,22,26,27,30,22
5,Davy,23,307,4,26,0.10797461732598726,0.25,20,21,12,18,25,17,20,18
6,Doll,52,669,9,62,0.20847678428657435,58.22301587301588,16,12,7,7,10,11,14,8
7,Falstaff,505,5740,26,364,0.4198964326710457,494.31512376512364,1,1,1,1,1,1,1,1
8,Feeble,6,106,3,14,0.0966328140898614,0.0,26,28,13,20,26,21,27,20
9,Francis,6,65,4,6,0.03878674669362015,93.59285714285713,26,35,12,24,5,33,30,18
10,Gloucester,15,142,6,20,0.14523643298681171,0.8008658008658007,23,25,10,19,24,15,24,17
11,Harcourt,8,67,1,2,0.023853641342381608,0.0,25,34,15,26,26,37,29,26
12,King_Henry_IV,321,2365,10,64,0.221477302131261,72.06399433899433,2,3,6,6,6,8,2,6
13,Lady_Northumberland,4,42,2,4,0.010923939501834614,0.0,28,38,14,25,26,41,33,26
14,Lady_Percy,46,376,2,4,0.010923939501834602,0.0,17,19,14,25,26,42,18,26
15,Lancaster,112,910,12,49,0.22023716466942977,64.81460761460761,8,8,4,12,9,9,8,8
16,Lord_Bardolph,87,691,5,35,0.031514761583357614,65.89841269841271,11,11,11,16,8,36,11,17
17,Lord_Hastings,55,442,7,34,0.08577435856393294,69.51949161949162,15,18,9,17,7,23,16,14
18,Lord_Mowbray,57,455,5,36,0.05740472877951327,9.84722222222222,14,17,11,15,19,29,15,18
19,Master_Gower,6,65,2,8,0.07197466657605109,0.0,26,35,14,23,26,25,30,22
20,Master_Silence,29,285,4,44,0.10530685634053244,0.25,19,22,12,13,25,18,20,17
21,Morton,83,643,2,12,0.013141620863089117,0.0,12,13,14,21,26,40,12,25
22,Mouldy,8,104,3,10,0.09663281408986142,0.0,25,29,13,22,26,20,27,20
23,Northumberland,107,870,8,34,0.09050311789307959,226.49285714285708,10,10,8,17,2,22,10,12
24,Peto,6,51,1,2,0.03288934065409284,0.0,26,37,15,26,26,35,31,25
25,Pistol,55,612,9,62,0.23316199353410974,14.582514707514708,15,14,7,7,16,6,14,9
26,Poins,34,504,5,56,0.15286600307019121,0.0,18,16,11,9,26,14,17,15
27,Prince_Hal,275,2594,14,118,0.305372346820789,128.84238539238538,3,2,2,3,4,2,2,2
28,Shadow,0,12,2,4,0.06856561791155034,0.0,32,45,14,25,26,28,38,23
29,Shallow,140,1682,11,156,0.2167245282986333,24.725829725829726,5,4,5,2,15,10,4,8
30,Travers,15,115,1,2,0.009747404785115843,0.0,23,27,15,26,26,43,25,27
31,Wart,0,10,1,4,0.045223861811105555,0.0,32,46,15,25,26,32,39,24
32,Warwick,75,608,8,52,0.19693015190151517,10.48257298257298,13,15,8,10,17,12,14,11
33,Westmoreland,110,894,7,42,0.11176532290640671,10.316883116883117,9,9,9,14,18,16,9,14
34,Will,3,38,2,2,0.004681651684692832,0.0,29,39,14,26,26,45,34,27
35,archbishop,149,1125,6,50,0.09979628329233452,47.955999555999554,4,7,10,11,12,19,5,13
36,beadle,6,76,3,8,0.056070265036533735,6.5,26,31,13,23,21,30,28,21
37,drawer_first,6,72,2,4,0.004681651684692779,0.0,26,32,14,25,26,46,29,27
38,drawer_second,1,14,1,2,0.022453454113495305,0.0,31,44,15,26,26,38,37,26
39,groom_first,1,20,3,4,0.051864382067471,50.2607142857143,31,43,13,25,11,31,37,20
40,groom_second,0,7,1,2,0.005585919443557641,0.0,32,47,15,26,26,44,39,27
41,hostess,129,1480,13,98,0.260262411599994,188.39565712065703,6,5,3,5,3,4,5,3
42,messenger,4,36,2,2,0.015420734153588134,0.0,28,40,14,26,26,39,34,26
43,officer_Fang,2,56,3,12,0.07716889271482621,7.233333333333334,30,36,13,21,20,24,33,19
44,officer_Snare,1,25,2,4,0.036342167948422294,0.0,31,42,14,25,26,34,36,24
45,page,15,235,8,34,0.22499169829757767,2.518253968253968,23,23,8,17,23,7,23,13
46,porter,4,35,1,4,0.0033942160779732626,0.0,28,41,15,25,26,47,34,28
47,servant,5,95,2,14,0.07197466657605107,0.0,27,30,14,20,26,26,28,21
